Genes,Interactors,Norm_Symbol
CEP131,"['YWHAE', 'CENPJ', 'YWHAZ', 'CEP162', 'MIB1', 'CEP290', 'CEP63', 'KIAA0753', 'SSX2IP', 'OFD1', 'PCM1', 'CEP135']",CEP131
NDUFA4,"['ATXN3', 'NDUFA12', 'SOCS6', 'PARK7']",NDUFA4
CHMP3,"['CHMP2A', 'CHMP3', 'CHMP4B', 'STAMBP', 'IGFBP7']",CHMP3
NOP10,"['NAF1', 'GAR1', 'NHP2', 'DKC1']",NOP10
ARSA,"['ARSA', 'TRIP13']",ARSA
NUDCD3,"['HCFC1', 'PHOSPHO2-KLHL23', 'PKN3', 'SSBP1', 'SF3B3', 'CXorf57', 'FAM136A', 'PAFAH1B1', 'CUL3', 'FKBP5', 'CARM1', 'SORT1', 'KLHL9', 'PHLPP1', 'KBTBD6']",NUDCD3
IRF2,"['KAT2B', 'IRF2BP2', 'NCL', 'FOXK2', 'HCFC2', 'FOXK1', 'IRF2BPL', 'IRF2BP1', 'BRD7', 'ATG7', 'MDM2', 'PPP3CB', 'EP300']",IRF2
DHX35,['TSSC4'],DHX35
IK,"['RBM10', 'EFTUD2', 'FRA10AC1', 'IK', 'ZNF830', 'THOC1', 'PRPF6', 'MFAP1', 'CHD3', 'SNIP1', 'RNF113A', 'SMU1', 'XAB2']",IK
COL2A1,"['COL9A1', 'BMP2', 'PDGFB']",COL2A1
VPS39,"['VPS39', 'VPS11']",VPS39
CLTA,"['EGFR', 'CLTC', 'HSPA8', 'CLTB', 'MAD2L2']",CLTA
MSX2,"['MSX1', 'PIAS2']",MSX2
PTPLAD1,"['PEX19', 'FANCI', 'BZW2', 'ATP2A2', 'ATP2B1', 'TPTE']",PTPLAD1
GRB7,"['CALM1', 'RET', 'KIT', 'OLIG1', 'ERBB2', 'PTK2', 'RND1', 'INSR', 'LY6G6F', 'ERBB3', 'EPHB1']",GRB7
CKAP2,['KIAA0753'],CKAP2
ENOPH1,['RNF41'],ENOPH1
MLX,"['GABARAPL2', 'MXD1', 'MNT', 'MXD4', 'MLX', 'MLXIP', 'MLXIPL']",MLX
ESR1,"['MED23', 'MYL6', 'CBLL1', 'TSC2', 'FKBP5', 'XBP1', 'RPL8', 'EZH2', 'BRCA1', 'NR2F1', 'RBBP5', 'NCOA2', 'TOP2B', 'PRDM2', 'ACTB', 'STUB1', 'DDX3X', 'NELFB', 'HNRNPA2B1', 'HSPB1', 'SRC', 'POU4F1', 'ACTN4', 'RPLP0', 'EGFR', 'TRRAP', 'CDC25B', 'MED16', 'TDG', 'ESR2', 'RPL7', 'MVP', 'PPARGC1B', 'MED10', 'TAB2', 'RPS8', 'NCOA6', 'UBE2I', 'MED1', 'HDAC3', 'ALYREF', 'IGF1R', 'SKIL', 'MED24', 'BCAS2', 'RPL18', 'GRIP1', 'MED20', 'RBM39', 'HNRNPA1', 'DDX54', 'MED25', 'BLOC1S1', 'TRAM1', 'RAC3', 'TRIM25', 'GNB2', 'GTF2H1', 'NCOR2', 'BCOR', 'SYNCRIP', 'SMYD3', 'UBE3C', 'ARNT', 'SAFB2', 'OTUB1', 'CAV1', 'GNB1', 'PPP5C', 'ASH2L', 'RBBP7', 'DDX5', 'BCAR1', 'DBN1', 'SAFB', 'MED6', 'BCAS3', 'ATAD2', 'LCOR', 'SMURF1', 'MPG', 'NAT10', 'PTGES3', 'TADA3', 'EP300', 'PELP1', 'PRMT2', 'PPP1CA', 'CCNC', 'GSN', 'ACTR2', 'ISL1', 'NCOA7', 'KMT2D', 'SMARCA4', 'BARD1', 'TAF1B', 'HSPA1A', 'BAG1', 'PPP2R1A', 'MEN1', 'AHR', 'TXNRD1', 'SIN3A', 'AKAP13', 'MGMT', 'MED14', 'RPS4X', 'MED12', 'ACTR3', 'CDKN1A', 'KAT5', 'PGR', 'CDK11B', 'STAT5A', 'TUBB1', 'UBE3A', 'AKT2', 'POU4F2', 'SP1', 'MTA2', 'FHL1', 'TP53', 'CITED1', 'NR2C1', 'SHC1', 'CCT2', 'SKP2', 'RLIM', 'MUC1', 'FOXK2', 'SETD7', 'NCOA1', 'PIK3R1', 'PFN1', 'MDM2', 'HSP90AA1', 'NPM1', 'HIF1A', 'JUN', 'UIMC1', 'RBBP4', 'VPRBP', 'DHX9', 'FBXO45', 'ESR1', 'MAPK1', 'SPOP', 'DNTTIP2', 'FOXA1', 'MNAT1', 'HDAC1', 'CEBPB', 'RPL7A', 'WBP2', 'POLR2A', 'MSH2', 'SMARCE1', 'RBCK1', 'HDAC4', 'HECTD1', 'PAGR1', 'RELA', 'HSPA4', 'CREBBP', 'EPAS1', 'PARP1', 'TBP', 'HDAC2', 'KDM4B', 'PIK3CA', 'WDR5', 'DDX17', 'ARID5A', 'TRIM24', 'LMO4', 'RPS9', 'CCNT1', 'RPL9', 'MTOR', 'HEXIM1', 'GNB4', 'ACTC1', 'MYO1C', 'PAK1', 'SMAD2', 'HSPA8', 'PHB2', 'MTA1', 'CCND1', 'FOXO1', 'BTF3', 'NCL', 'NRIP1', 'NCOR1', 'PRKDC', 'KDM5A', 'EIF4A1', 'MYBBP1A', 'CBR1', 'CDK2', 'NCOA3', 'KLF5', 'NR0B2']",ESR1
NR4A1,"['RXRA', 'PELP1', 'TRIM28', 'NCOR2', 'VHL', 'NCOA1', 'MTA2', 'PRDX4', 'MAPK8', 'TP53', 'MYBBP1A', 'NDRG1', 'TRAF2', 'STAT3', 'BCL2', 'CTNNB1', 'AKT1', 'PML', 'EP300']",NR4A1
CCL11,['CCL11'],CCL11
XPO4,['PTPRE'],XPO4
WDR41,['C9orf72'],WDR41
MAFG,"['PARP1', 'HIF1A', 'NFE2L1', 'NFE2L2', 'BACH1', 'NFE2L3', 'MAFG']",MAFG
DNMT1,"['RB1', 'PCNA', 'KAT5', 'DAXX', 'BRAP', 'EZH2', 'SUV39H1', 'TRIM28', 'RUNX1', 'HDAC2', 'MTA2', 'TP53', 'CHEK1', 'CUL4B', 'SIRT1', 'AKT1', 'NR2C1', 'EED', 'CBX5', 'DNMT3B', 'DMAP1', 'USP7', 'SNAI1', 'DNMT3A', 'SETD7', 'STAT3', 'RUNX1T1', 'MTA1', 'CHD4', 'NRIP1', 'LASP1', 'UHRF1', 'UHRF2', 'MECP2', 'HDAC1', 'KDM1A', 'EHMT2', 'HELLS']",DNMT1
CAMK1,"['CDKN1B', 'MARK2']",CAMK1
SAP30L,"['SAP30L', 'HDAC2', 'HDAC1', 'RBBP7', 'SIN3A', 'FEZ1']",SAP30L
SF3A3,"['SF3A1', 'SART1', 'SF3B3', 'SF3A2', 'SF3B1', 'PRPF31', 'EIF4G1', 'HSPB1', 'SNRNP70', 'TCERG1', 'SNRPA', 'DDX46', 'PRPF19', 'SNRPA1', 'PUF60', 'SNRPB2']",SF3A3
UBOX5,"['NEDD4', 'UBE2L3', 'UBE2D3', 'MLH1']",UBOX5
PIGU,"['PIGS', 'PIGT', 'PIGK']",PIGU
MRI1,['MRI1'],MRI1
POP1,"['RPP38', 'CSNK2A1', 'POP4', 'RBM34', 'RPP25', 'RPP30', 'EIF6', 'NOP56']",POP1
PSMB4,"['PSMB5', 'PSMB2', 'CFTR', 'PSMC2', 'POMP', 'UCHL5', 'SMAD1', 'PSMD14', 'PSMG2', 'PSMD3', 'PSMC5', 'PSMB8', 'PSMA6', 'PSMD1', 'PSMD2', 'PSMA5', 'FBXO7', 'PSMA8', 'CRBN', 'PSMD5', 'CUL1', 'PSMA3', 'PSMB7', 'YAP1', 'PSMA2', 'PSMD11', 'PSMD4', 'PSMA7', 'PSMD6', 'PSMB3', 'PSMA4', 'PSMB9', 'PRPF19', 'PSMB1', 'PSMC3', 'PSMB10', 'PSMD13', 'PSMD7', 'PSMB6', 'PSMD12', 'PSMA1']",PSMB4
HPN,['GLP1R'],HPN
PPP2R2A,"['RPS11', 'ZCCHC8', 'CFTR', 'SERTAD4', 'PPP2R2D', 'PPP2CB', 'HDAC5', 'FAM122A', 'RBM7', 'CDCA4', 'SKIV2L2', 'ECSIT', 'PPP2CA', 'NOSIP', 'PPP2R1B', 'CCAR2', 'FOXC1', 'PTPDC1', 'TGFBR1', 'ACLY', 'RPS6KB1', 'PPP2R1A', 'PPME1']",PPP2R2A
SHCBP1,"['RACGAP1', 'YWHAG', 'SHC1']",SHCBP1
DNAAF5,['EGFR'],DNAAF5
VPS72,"['MRGBP', 'DMAP1', 'TRRAP', 'MYCL', 'EWSR1', 'KAT5', 'RUVBL2', 'MDFI', 'YEATS4', 'RUVBL1', 'EPC1']",VPS72
YY1,"['NOTCH1', 'CREB1', 'UCHL5', 'BAP1', 'ACTR5', 'SAP30', 'HDAC4', 'RUVBL2', 'INO80E', 'NEDD4L', 'ACTR8', 'SMAD3', 'TFAP2A', 'EZH2', 'HOXA11', 'CDKN2A', 'HDAC5', 'SP1', 'HDAC2', 'INO80D', 'TP53', 'INO80', 'EED', 'RUVBL1', 'INO80B', 'ATF2', 'EP300', 'HCFC1', 'YY1', 'SMAD4', 'ILF3', 'HDAC3', 'ARRB1', 'MDM2', 'MCRS1', 'INO80C', 'PRMT1', 'TFCP2', 'NPM1', 'SMAD2', 'RNF2', 'RYBP', 'TFPT', 'FKBP3', 'NFRKB', 'NEDD4', 'MECP2', 'HDAC1', 'MYC', 'ATF6', 'SMURF2', 'ACTL6A']",YY1
HERC2,"['UBE2N', 'NCOA4', 'EIF3L', 'PSMD14', 'DBNL', 'BLM', 'CTNNB1', 'STK11', 'RPA1', 'XPA', 'BRCA1', 'UBE3A', 'RNF8', 'USP20', 'EIF3C', 'EIF3K', 'HM13', 'HLA-A', 'TP53', 'BIRC6', 'EIF3H', 'FTH1', 'SSSCA1', 'EIF3E', 'ZFYVE9', 'EIF3D', 'RPA2', 'FDFT1', 'EIF3A', 'HERC2', 'RPA3', 'EIF3B', 'WRN', 'EIF3M', 'EME1', 'BICD2', 'PHKB', 'UBC', 'LRRK2', 'MUS81', 'PCM1', 'USP16', 'KIF20A', 'BARD1', 'MAPK6', 'NEURL4', 'PHKG2', 'RMI2', 'CEP170', 'TOP3A', 'CLSPN', 'FBXL5', 'EIF3G', 'EIF3I']",HERC2
MRPL12,"['ICT1', 'MRPL9', 'MRPL15', 'MRPL50', 'MRPL41', 'MRPL3', 'MRPL10', 'MRPL1', 'RBM3', 'MRPL42', 'GADD45GIP1', 'MRPL52']",MRPL12
CIRH1A,"['WDR43', 'UTP15']",CIRH1A
PARP2,"['CHD1L', 'RNF146', 'H3F3A', 'TNP2', 'C4orf27', 'HIST1H3A', 'HSPA2']",PARP2
DDX47,"['CDC5L', 'MCM9']",DDX47
