Genes,Interactors,Norm_Symbol
GPAA1,"['PIGS', 'PIGT', 'PIGK']",GPAA1
TFPI,['F10'],TFPI
NR5A2,"['CREB1', 'UBE2I', 'NCOA1', 'NR0B2']",NR5A2
LPL,['LRP1'],LPL
RCN2,"['GABARAPL2', 'IRS4', 'CFTR']",RCN2
SCML2,"['USP7', 'RNF2']",SCML2
CABYR,['PAXIP1'],CABYR
AARSD1,"['SERPINH1', 'IRS4', 'DYNLT1', 'HECTD1', 'TUBA1A', 'HSPB1']",AARSD1
EMC2,"['EMC9', 'MMGT1', 'EMC4', 'EMC10', 'EMC6', 'EMC1', 'EMC8', 'EMC3', 'EMC7']",EMC2
ELL3,"['MLLT3', 'EAF1', 'TP53']",ELL3
DGKI,['VHL'],DGKI
TTK,"['CENPJ', 'TP53', 'CDC27', 'TTK', 'HSP90AA1']",TTK
EPPIN,"['LTF', 'CLU']",EPPIN
POU2F2,"['TBP', 'TLE4', 'NR3C1', 'HMGB2', 'XRCC6', 'HMGA1']",POU2F2
DNAJC2,"['HSPA14', 'HIST2H2AA3']",DNAJC2
SELV,['PAXIP1'],SELV
SNX5,"['SNX1', 'HGS', 'SNX2', 'CLTCL1', 'FANCA', 'PIP5K1C']",SNX5
GABPA,"['HCFC1', 'SP1', 'GABPB1', 'KEAP1', 'MED1', 'SP3', 'EP300']",GABPA
CDC25B,"['YWHAG', 'YWHAE', 'CSNK2A1', 'BTRC', 'YWHAZ', 'ESR1', 'MAPK14', 'MELK', 'CDK2', 'YWHAH', 'CHEK1', 'CDK1', 'YWHAB', 'YWHAQ', 'CDK5', 'CDC14A', 'FBXW11']",CDC25B
MEPE,['CHEK1'],MEPE
FCGR3A,['SYK'],FCGR3A
VAC14,"['FIG4', 'PIKFYVE']",VAC14
YIPF3,"['YIPF4', 'UNC93B1']",YIPF3
TFPT,"['YY1', 'UCHL5', 'TFPT', 'ACTR5', 'RUVBL2', 'INO80E', 'TFIP11', 'CCNDBP1', 'RUNDC3A', 'INO80', 'RALBP1', 'RUVBL1', 'TPM3']",TFPT
KMT2B,"['RBBP5', 'PAXIP1', 'WDR82', 'WDR5', 'NCOA6', 'ASH2L']",KMT2B
DIS3,"['SOCS2', 'EXOSC2', 'EXOSC10', 'EXOSC4', 'EXOSC7', 'EXOSC9', 'EXOSC8', 'SOCS6']",DIS3
CENPP,"['CENPU', 'ITGB3BP', 'CENPQ', 'CENPO']",CENPP
SMUG1,['RBPMS'],SMUG1
HIST1H3C,"['TRIM24', 'DAXX', 'BANF1']",HIST1H3C
SSNA1,"['GOPC', 'PSMC5', 'LCA5', 'SSNA1']",SSNA1
WDR11,['UBXN7'],WDR11
FGF13,['MAPK8IP2'],FGF13
ARNT,"['ARNT', 'CASP9', 'CALCOCO1', 'FOXR2', 'SIM2', 'BRCA1', 'SIM1', 'EPAS1', 'NCOA2', 'TRIP11', 'CASP3', 'AKT1', 'NCOA1', 'TACC3', 'TGM2', 'HSPA8', 'HIF1A', 'ESR1', 'NPAS4', 'AHRR', 'AHR', 'HNF4A']",ARNT
LRCH3,"['LRCH1', 'LRCH2', 'SUGT1', 'DOCK7', 'MYO6', 'DOCK8', 'DOCK6']",LRCH3
HTT,"['HYPK', 'SH3GL3', 'HIP1', 'UBE2K', 'VCP', 'AMFR', 'PFN2', 'PACSIN1', 'HAP1', 'ECH1', 'PSMC5', 'XAGE3', 'CREBBP', 'HTT', 'AGO2', 'SYVN1', 'TRIP10', 'SP1', 'SQSTM1', 'ITCH', 'OPTN', 'TP53', 'GIT1', 'HEY2', 'XRCC6', 'ZDHHC17', 'FEZ1', 'CRMP1', 'HMG20A', 'MBD4', 'TCERG1', 'HSP90AA1', 'HSPA8', 'FICD', 'PIAS4', 'GRB2', 'RASA1', 'TAF4', 'RHEB', 'MED31', 'TUBB', 'PRPF40A', 'PRPF40B', 'HYPM', 'CHD3', 'ZMAT2', 'IKBKAP', 'SETD2']",HTT
PITPNC1,['AGTRAP'],PITPNC1
QSER1,['MAGEA10'],QSER1
MRGBP,"['DMAP1', 'TRRAP', 'KAT5', 'RUVBL2', 'MORF4L1', 'MBTD1', 'ING3', 'MORF4L2', 'VPS72', 'EPC2', 'FOXR1', 'BRD8', 'MEAF6', 'HSPA4', 'EP400', 'YEATS4', 'RUVBL1', 'ACTL6A', 'EPC1']",MRGBP
RRM1,"['BMI1', 'RRM2', 'KAT5', 'RRM1', 'RRM2B', 'RNF2']",RRM1
GRHPR,"['PGM1', 'SUCLA2']",GRHPR
RNF144B,"['CDKN1A', 'UBE2U', 'UBE2L3', 'UBE2L6']",RNF144B
THY1,['FAP'],THY1
ZBTB18,"['CTBP1', 'DNMT3A']",ZBTB18
SYTL5,"['RAB27A', 'RAB6A', 'RAB27B', 'RAB3A']",SYTL5
DSN1,"['MIS12', 'NSL1', 'PMF1', 'SKA2', 'SPC24', 'ZWINT', 'SUGT1', 'NDC80', 'CASC5', 'CBX3', 'SPC25', 'NUF2', 'CBX5']",DSN1
DSP,"['PKP2', 'DES', 'KRT1', 'VCP', 'VIM', 'PSEN1', 'PCM1', 'JUP', 'PKP1']",DSP
PHKB,"['HERC2', 'PHKG2']",PHKB
CA8,"['HSD17B14', 'ITPR1']",CA8
KARS,"['EPRS', 'IARS', 'RPSA', 'LARS', 'MARS', 'EEF1E1', 'MAPK1', 'RARS', 'DARS', 'AIMP1', 'DARS2', 'AIMP2', 'QARS']",KARS
MEFV,"['SIVA1', 'GABARAP', 'PYCARD', 'ULK1']",MEFV
RAB11A,"['RAB11FIP4', 'RAB1A', 'RAB11FIP3', 'ATP4A', 'MYO5B', 'PTGIR', 'RAB7A', 'OPTN', 'TBXA2R', 'WDR44', 'RAB11FIP5', 'RAB11FIP1', 'RAB11FIP2', 'RAB3IP', 'RAB5A']",RAB11A
PRRC2A,"['BTRC', 'ATXN1L', 'GRB2', 'FBXW11']",PRRC2A
MRPS14,"['RPS15A', 'MRPS11']",MRPS14
DNAJC14,['DRD1'],DNAJC14
HIRA,"['HIST1H2BK', 'H3F3A', 'PML', 'ASF1A', 'NFU1', 'ASF1B', 'SMARCB1', 'CABIN1', 'MYC', 'UBN1', 'OGT', 'POLR2A', 'SMARCA4', 'JUN']",HIRA
CAB39L,['STK11'],CAB39L
PLB1,['S100A1'],PLB1
KLC3,"['YWHAH', 'KLC1']",KLC3
DEAF1,"['GSK3B', 'CDKN2A', 'GSK3A']",DEAF1
USP51,"['ZEB1', 'HIST2H2AC']",USP51
FLAD1,"['CDKN1A', 'FLAD1']",FLAD1
ZCCHC10,"['RBM39', 'STAC3', 'PSME3', 'THAP1']",ZCCHC10
NPR3,"['NPPA', 'NPPC', 'NPPB']",NPR3
OSTF1,"['KHDRBS1', 'CBL']",OSTF1
RILP,['RAB7A'],RILP
CLIP2,['CLASP1'],CLIP2
RBMY2BP,['BARD1'],RBMY2BP
GANAB,"['PRKCSH', 'PTPRC', 'DUSP21', 'MYC', 'PTPRN']",GANAB
HEXB,['SOD1'],HEXB
MAPK10,"['ARRB2', 'GCH1', 'HDAC9', 'PKMYT1', 'HAX1', 'MAPK10', 'MAPK8IP3', 'MAP2K4', 'ARRB1', 'RELA', 'CDKN2A', 'ATF2', 'JUN']",MAPK10
MELK,['CDC25B'],MELK
DNAJC11,"['RNF214', 'SOCS6']",DNAJC11
AGTR1,"['ARRB2', 'PTGFR']",AGTR1
KLF15,"['KAT2B', 'PRKAB2']",KLF15
MXD3,"['SMC3', 'SIN3A', 'MAX', 'NFKB1']",MXD3
PGRMC1,"['INSIG1', 'MTNR1A', 'ITGB1BP1']",PGRMC1
ZKSCAN1,['ZSCAN32'],ZKSCAN1
IFT81,"['UBXN10', 'TTC30B', 'IFT74', 'TTC30A', 'IFT46', 'IFT88', 'PCM1']",IFT81
NOP58,"['FBL', 'NOLC1', 'CSNK2A1', 'MCM9', 'NOP2', 'RPS7', 'RUVBL2', 'DHX15', 'HNRNPU', 'DKC1', 'RPL18A', 'FTSJ3', 'NIFK', 'NHP2L1', 'UTP14A', 'RUVBL1', 'NOP56', 'NOC4L']",NOP58
KLHL40,"['NEB', 'LMOD3']",KLHL40
MAGED1,"['PJA1', 'BARD1', 'XIAP', 'AATF', 'ARNT2', 'IRS4', 'RBPMS', 'FBXO7', 'NPAS4', 'UNC5A', 'SIM2', 'PRKAB2', 'RBFOX1', 'RNF8', 'SIM1']",MAGED1
SHROOM1,['SOCS2'],SHROOM1
ITGB6,"['FHL2', 'MAPK1']",ITGB6
DSG3,['PKP3'],DSG3
SPCS2,['TCTN2'],SPCS2
SSTR5,['SSTR5'],SSTR5
STX18,"['RINT1', 'ZW10', 'SCFD1', 'SEC22B']",STX18
EPN2,['UBC'],EPN2
ZMAT2,['HTT'],ZMAT2
IRF5,"['NCOR2', 'MAVS', 'MYD88', 'SGTA', 'CEP152', 'HDAC1', 'ALPI', 'IRF5', 'TRIM21', 'GPS1', 'CREBBP', 'COPS7B', 'SIN3A', 'EP300']",IRF5
NASP,"['RBBP4', 'H3F3A', 'ASF1A', 'HIST1H4A', 'ASF1B', 'HIST1H3H', 'AIRE', 'HIST1H3E', 'H3F3B', 'HIST1H3A', 'BAG3']",NASP
TRPV6,"['MDFI', 'CALM1', 'NEDD4']",TRPV6
CCDC155,"['RNF146', 'RIPPLY2', 'BCL2L2', 'EMD', 'SGTA']",CCDC155
TUB,['PLCG1'],TUB
RNPS1,"['CSNK2A1', 'LUC7L3', 'PRPF6', 'UPF2', 'UPF3A', 'DDX41', 'SAP18', 'GPATCH8', 'USP4', 'RBM8A', 'SRPK2', 'SNRPA', 'SREK1', 'SRSF1', 'TRA2B', 'ACIN1', 'PRPF8', 'SRSF11', 'CPSF2', 'LUC7L2', 'EFTUD2', 'SRSF6', 'SRPK1', 'SRRM2', 'LUC7L', 'SART3', 'PNN', 'UPF3B', 'U2AF1', 'THRAP3', 'NUDT21', 'PRPF40A', 'SNRNP70', 'U2AF2', 'EIF4A3', 'CLK2']",RNPS1
NOVA1,['YPEL5'],NOVA1
LRWD1,"['ORC5', 'ORC2', 'ORC3']",LRWD1
SMS,['KYNU'],SMS
MAP3K10,"['COPS2', 'MAPK8IP1', 'CDC42', 'KIF3A', 'NEUROD1', 'RAC1', 'KIFAP3', 'MAPK8IP2']",MAP3K10
ZFYVE19,['VPS4B'],ZFYVE19
CSRNP2,"['PPP1CA', 'PPP1CC']",CSRNP2
NDUFB11,"['NDUFA2', 'NDUFS5', 'NDUFA9', 'NDUFB10', 'NDUFB8', 'NDUFA12', 'NDUFAF1', 'NDUFS3']",NDUFB11
SH2D3A,['EGFR'],SH2D3A
TIGD5,['MAGEA4'],TIGD5
GEMIN5,"['GEMIN6', 'MAP3K5', 'SMN1', 'SNRPG', 'GAR1', 'MAPK8', 'WHSC1', 'GEMIN2', 'SNRPF', 'DDX20', 'MAP2K4', 'RN7SL1', 'SNRPE', 'GEMIN4', 'SNRNP70', 'STRAP', 'SNRPD3', 'SNRPD1', 'RNU1-1', 'SNRPD2']",GEMIN5
CEBPA,"['RB1', 'CDKN1A', 'MAPK8', 'KAT5', 'SMARCA2', 'UBE3A', 'PARP1', 'ZBTB16', 'GRIN3A', 'CEBPE', 'CEBPA', 'MRTO4', 'XRCC6', 'SPI1', 'CDX1', 'CDK4', 'RARA', 'DDIT3', 'PPP2CA', 'SMARCA4', 'HIF1A', 'MAX', 'HDAC1', 'BHLHE41', 'E2F4', 'CEBPB', 'CDK2', 'XRCC5', 'KLF5']",CEBPA
GFRA1,"['RET', 'GDNF', 'NRTN']",GFRA1
CD14,['LBP'],CD14
BEND5,"['PRKAB2', 'ZGPAT']",BEND5
HSPB2,"['HSPB8', 'UBE2I', 'HSPB2', 'DMPK', 'CRYAB', 'HNRNPD', 'CRYAA']",HSPB2
PHF1,"['RBBP4', 'NEK6', 'RBPMS', 'TP53', 'HIST3H3', 'EZH2', 'EED', 'EZH1', 'RBBP7', 'SMC1A', 'SUZ12', 'HIC1']",PHF1
BIRC6,"['CASP7', 'DIABLO', 'CASP3', 'HERC2', 'CASP9', 'MCPH1', 'HTRA2', 'USP8', 'RNF41']",BIRC6
TAF15,"['SAFB', 'SOCS2', 'TAF7', 'POLR2E', 'POLR2C', 'TAF13', 'POLR2G', 'CUL4B', 'TAF11', 'PRMT1', 'TAF5', 'SOCS6']",TAF15
PARD6A,"['PARD6B', 'PARD3', 'GRB2', 'LLGL2', 'RNF146', 'PRKCZ', 'LLGL1', 'PIK3R3', 'PRKCI', 'ECT2', 'MAP2K5', 'SMURF1', 'CDC42', 'WDR83', 'RAC1']",PARD6A
IFIT2,"['IFIT1', 'IFIT3']",IFIT2
KCNH1,['KCNB1'],KCNH1
GOLGA5,['RAB1A'],GOLGA5
TEFM,"['ARIH1', 'KBTBD7']",TEFM
ACTC1,"['KLHL2', 'ESR1']",ACTC1
SH2D1A,"['CD84', 'CD244', 'LYN', 'FYN', 'SLAMF1', 'DOK1', 'LY9']",SH2D1A
TRIB1,"['STK40', 'RFWD2']",TRIB1
RNF152,"['RRAGA', 'UBE2N']",RNF152
PLEKHA2,['MPDZ'],PLEKHA2
DOK4,"['ELK4', 'DOK3', 'CCM2', 'OPRM1']",DOK4
RABIF,"['RAB10', 'RAB3A']",RABIF
TECR,"['ILK', 'RPN1']",TECR
PPP1R3C,"['NHLRC1', 'PPP1CA', 'EPM2A', 'PPP1CC', 'GYS1', 'PPP1CB']",PPP1R3C
ANKRD6,['AXIN2'],ANKRD6
PTPRA,"['PTPRE', 'EGFR', 'GRB2', 'KCNA2', 'SRC']",PTPRA
DDX18,"['BYSL', 'NOP56']",DDX18
BHLHE40,"['BTRC', 'UBE2I', 'TCF3', 'FBXW11']",BHLHE40
MKRN1,['FADD'],MKRN1
SYNGAP1,"['DLG3', 'ULK1']",SYNGAP1
TGFA,"['EGFR', 'GORASP1', 'GORASP2', 'ADAM17', 'DLG1']",TGFA
RBPMS,"['RBPMS', 'AES', 'PIN1', 'TBX6', 'ZBTB32', 'QKI', 'C1orf94', 'NEU4', 'PITX1', 'PRKAB2', 'GRAP2', 'WDYHV1', 'STRBP', 'PLAC8', 'SERF2', 'DVL2', 'FBXL18', 'RBFOX2', 'PHF1', 'HEYL', 'PER1', 'ATXN1L', 'DTX2', 'TEX37', 'DAZAP2', 'MAGED1', 'POGZ', 'CDC23', 'VENTX', 'HNRNPLL', 'TOLLIP', 'RHOXF2', 'NEDD9', 'CCNK', 'OTX1', 'TFG', 'ZC3H10', 'ZNF581', 'POM121', 'ATXN1', 'SEMA4G', 'SMUG1', 'RBFOX1']",RBPMS
FASN,"['ILK', 'PEF1', 'VHL', 'AHSA1', 'HSP90AA1', 'USP2', 'HIF1A']",FASN
TUBGCP4,"['MZT1', 'TUBGCP2', 'MZT2B', 'NEDD1', 'TUBG1', 'TUBGCP5', 'NME7', 'TUBGCP3', 'FBXW11']",TUBGCP4
CCNG2,"['PPP2CA', 'PPP2R5C']",CCNG2
YARS2,['CDC20'],YARS2
SUFU,"['ZNF764', 'RCN3', 'FBXL17', 'GLI1', 'PEX26', 'ZNF747', 'CDC25C', 'GLIS3']",SUFU
LTK,"['PIK3R1', 'EGFR']",LTK
CSN1S1,['CSNK2A1'],CSN1S1
RFXAP,"['RFXANK', 'RFX5']",RFXAP
RPS10,"['RPS24', 'RPS25', 'RPS4X', 'RPS11', 'RPLP1', 'RPS13', 'RPL11', 'RPL27', 'HAP1', 'RPL10', 'PTTG1', 'RPS19', 'RPL31', 'RPS26', 'DCC', 'TP53', 'RPS16', 'RPS14', 'RPS23', 'RPS9', 'RPS6', 'RPS15A', 'RPLP0', 'RPL9', 'RPS7', 'RPS2', 'RPL14', 'RPS5', 'RPS8', 'RPS12', 'RPS3A', 'RPS18', 'RPSA', 'RPS29', 'RPS20', 'TRIM25', 'RPS3', 'RPL5', 'H2AFX']",RPS10
ELL,"['USPL1', 'MLLT3', 'EAF2', 'AFF4', 'MED26', 'ICE2', 'TP53', 'SNF8', 'ICE1', 'EAF1']",ELL
GBP2,['RPS6KA1'],GBP2
PSMA2,"['PSMB2', 'PSMB5', 'PSMC2', 'UCHL5', 'POMP', 'VCP', 'PSMD14', 'PSMG2', 'PSMD3', 'PSMC5', 'PSMC1', 'PSMB8', 'PSMA6', 'PSMB4', 'PSMA5', 'PSMD2', 'PSMC6', 'PSMD1', 'FBXO7', 'ADRM1', 'PSMA8', 'CUL1', 'PSMD5', 'PSMA3', 'PSMB7', 'PSMA2', 'PSME2', 'PSMD11', 'PSMA7', 'PSMD4', 'PSMD8', 'PSME4', 'PSMG3', 'PSMA4', 'PSMB3', 'PSMB9', 'PSMD6', 'PSMG1', 'PSMC4', 'PSMB1', 'PSMC3', 'PSMB10', 'PSMD13', 'PSMD7', 'PSMB6', 'PSMD12', 'PSMA1', 'SKP1']",PSMA2
SCAI,"['NFATC2', 'NFATC1', 'CBX5']",SCAI
ATP2B1,"['PTPLAD1', 'TPTE']",ATP2B1
MFSD5,['GLP1R'],MFSD5
FGFR1OP2,"['PDCD10', 'SIKE1', 'STK25', 'SLMAP', 'MOB4', 'PPP2CA', 'STRN3', 'STRN', 'STK24', 'STK26', 'STRIP1', 'TRAF3IP3', 'PPP2CB', 'PPP2R1A']",FGFR1OP2
HMG20B,"['MID1', 'KIF4A', 'PHF21A', 'HDAC2', 'VIM', 'BRCA2', 'RCOR1', 'HDAC1', 'KDM1A', 'HMG20A']",HMG20B
MYOT,"['ACTN1', 'TRIM63']",MYOT
HIST1H2BB,"['CENPA', 'ERCC6', 'FANCD2', 'EP300']",HIST1H2BB
RB1CC1,"['ATG16L1', 'ULK1', 'GABARAP', 'TBKBP1', 'PTK2B', 'ATG13', 'PTK2', 'SMARCB1', 'CTNNB1', 'ATG101', 'RFWD2']",RB1CC1
HNRNPA1,"['HNRNPK', 'G3BP1', 'HNRNPH2', 'DHX30', 'LRPPRC', 'MRPS5', 'KHSRP', 'XIAP', 'MOV10', 'PRPF8', 'PPIA', 'HNRNPA2B1', 'DUSP11', 'BRINP1', 'PTCD1', 'PTBP1', 'HNRNPR', 'HNRNPD', 'HNRNPA0', 'EEF1A1', 'HNRNPA1', 'HSP90AB1', 'UBQLN2', 'NFKBIA', 'RPS3', 'IGF2BP2', 'GADD45GIP1', 'RRP1B', 'SYNCRIP', 'HIST1H2AB', 'RALY', 'MRPS22', 'CTNNB1', 'RPS6KB2', 'DDX5', 'NONO', 'HNRNPF', 'NGRN', 'SAFB', 'XRN2', 'HNRNPDL', 'MRPL3', 'ERG', 'DDX1', 'HSPA5', 'MRPL37', 'AKAP8', 'ILF3', 'MATR3', 'RBM14', 'MRPL1', 'CPSF6', 'NCBP1', 'PRMT1', 'HNRNPH1', 'FEN1', 'PRMT8', 'MRPL44', 'HNRNPH3', 'EWSR1', 'LARP1', 'MRPS23', 'ICT1', 'RBMX', 'DHX36', 'TP53', 'CHUK', 'ILF2', 'HNRNPA3', 'LIG4', 'RPS3A', 'MRPS9', 'ELAVL1', 'MEPCE', 'SFPQ', 'PRPF19', 'MRPL15', 'FIP1L1', 'DHX9', 'CCAR2', 'HNRNPL', 'ESR1', 'ZNF326', 'RBM3', 'PTCD3', 'HNRNPM', 'PSMD9', 'TARDBP', 'DHX15', 'PLOD1', 'HNRNPU', 'MRPS35', 'PABPC4', 'RNF14', 'LARP7', 'ZFR', 'HNRNPAB', 'DDX17', 'DAP3', 'FAM120A', 'DDX28', 'LMNA', 'PABPC1', 'MRPS27', 'SRRM2', 'HNRNPUL2', 'ADAR', 'CDC5L', 'MRPS7', 'PHB2', 'HNRNPC', 'SUGP2', 'YWHAQ']",HNRNPA1
CHD3,"['GATAD2A', 'TAL1', 'RPL10', 'MBD3L1', 'SMARCA2', 'TTR', 'RBBP7', 'DDX5', 'HTT', 'SERBP1', 'HABP4', 'TRIM28', 'SAFB', 'SMARCC2', 'YAE1D1', 'HDAC2', 'MTA2', 'TP53', 'GIT1', 'PTN', 'SUMO2', 'CBX1', 'ZNF219', 'IK', 'MBD2', 'PCNT', 'SMARCA5', 'SIRT6', 'VIM', 'SRRT', 'IMMT', 'MTA3', 'CBX3', 'GATAD2B', 'CDK2AP1', 'MYB', 'HIST1H3A', 'MTA1', 'IKZF1', 'RBBP4', 'BARD1', 'CHD4', 'SATB1', 'HNRNPL', 'PRPF40A', 'BCL6', 'CHD3', 'HDAC1', 'KDM1A', 'MBD3', 'SUMO1']",CHD3
PKP4,"['CDH1', 'ERBB2IP', 'CDH5', 'PSEN1', 'PDZD2']",PKP4
MRPL43,"['MRPL50', 'MRPL47']",MRPL43
IL1A,"['NDN', 'HAX1']",IL1A
GTF2H1,"['E2F1', 'ERCC5', 'GTF2H4', 'GTF2H2C_2', 'ERCC3', 'CDK7', 'GTF2E1', 'RXRB', 'ESR1', 'KLF1', 'CCNH', 'GTF2H2', 'TXNRD2', 'TP53', 'MNAT1', 'GTF2H3', 'GTF2H5', 'TCEA1', 'POLR2A', 'ERCC2']",GTF2H1
CENPF,['NDEL1'],CENPF
LTN1,"['IRF7', 'UBE2D2', 'TMEM173', 'TIRAP', 'NEMF', 'UBC', 'BAG1']",LTN1
HSD17B12,['CLN3'],HSD17B12
MEIS2,['PBX1'],MEIS2
KIAA1033,"['WASH1', 'CCDC53', 'KIAA0196', 'FAM21C']",KIAA1033
THRA,"['NCOR2', 'MED12', 'TAF11', 'RXRA', 'PARP1', 'MED6', 'TRIP11', 'TRIM63', 'ITGB3BP', 'MED16', 'MED21', 'NCOA1', 'HDAC3', 'NCOA6', 'MED1', 'MED24', 'GRIP1', 'NRIP1', 'NCOR1', 'PRKDC', 'MEF2A', 'COPS2']",THRA
MLST8,"['CCT2', 'RICTOR', 'RPTOR', 'MTOR']",MLST8
HAVCR1,['STAM'],HAVCR1
HIST1H2AB,"['MAPK3', 'BMI1', 'KAT2B', 'PPM1G', 'HNRNPA1', 'ERCC6', 'CENPA', 'DZIP3', 'BRCA1', 'FANCD2', 'RNF2', 'EP300']",HIST1H2AB
JUNB,"['BATF3', 'FOSL2', 'ATF3', 'SMAD4', 'BATF2', 'STK40', 'RFWD2', 'FOSL1', 'FOS', 'SMAD3', 'MAPK9', 'SMURF1', 'BATF', 'BRCA1', 'SMARCA4', 'EP300']",JUNB
EEF1E1,"['IARS', 'LARS', 'MARS', 'RARS', 'DARS', 'AIMP1', 'AIMP2', 'QARS', 'EPRS', 'KARS']",EEF1E1
RPAP1,['POLR2J'],RPAP1
BCAR1,"['CRKL', 'CD2AP', 'PTPN1', 'CRK', 'BCAR3', 'PTK2', 'INPPL1', 'FYN', 'NCK1', 'TSG101', 'ABL1', 'PTK2B', 'PXN', 'TRIP6', 'ARHGAP32', 'PTPN12', 'NPHP1', 'SRC', 'SRCIN1', 'RAPGEF1', 'DOCK1', 'PIK3R1', 'SH3KBP1', 'GRB2', 'YWHAZ', 'ESR1', 'ALK', 'LYN']",BCAR1
DDX5,"['IGF2BP3', 'SYNCRIP', 'DHX15', 'EZH2', 'CTNNB1', 'HNRNPF', 'RMND5A', 'HDAC2', 'TP53', 'DDX17', 'MAPKAPK2', 'SNW1', 'CUL4B', 'HDGF', 'AKT1', 'EED', 'PIAS1', 'PSMA3', 'EP300', 'CALM1', 'FBL', 'AKAP8', 'SRRM2', 'HDAC3', 'RNF2', 'HNRNPH1', 'HNRNPA0', 'RYBP', 'DHX9', 'CBX7', 'SRRM1', 'ESR1', 'HNRNPA1', 'CHD3', 'HDAC1', 'AIRE', 'TRIM25', 'U2AF2', 'EIF4A3', 'SUZ12']",DDX5
RNASEH2A,"['RNASEH2B', 'RNASEH2C']",RNASEH2A
GPI,"['SOCS2', 'TPI1', 'AMFR']",GPI
NFE2L1,"['BTRC', 'KEAP1', 'FBXW7', 'GSK3B', 'MAFF', 'MAFG', 'JUN']",NFE2L1
PAXIP1,"['MRE11A', 'WDR48', 'WDR82', 'MAPRE2', 'PAGR1', 'KIF2C', 'KMT2C', 'DPY30', 'ASH2L', 'CABYR', 'SCCPDH', 'RBBP5', 'TADA2A', 'ATHL1', 'TP53BP1', 'WDR5', 'RAD50', 'NOP14', 'PER1', 'SELV', 'KDM6A', 'NCOA6', 'KMT2D', 'SRSF2', 'PAX2', 'LDHA', 'DNAJB11', 'LGALS3', 'KMT2B', 'LOC653602', 'CCT6B', 'H2AFX', 'FAM96B']",PAXIP1
ASXL1,"['HCFC1', 'BAP1', 'FOXK2', 'HIST1H1C', 'FOXK1', 'AKT1', 'OGT']",ASXL1
ATPIF1,['MTMR9'],ATPIF1
ANKRD23,['TTN'],ANKRD23
TRIM3,"['ACTN4', 'KIF21B']",TRIM3
AGTRAP,"['PBX3', 'GAD1', 'SUCLA2', 'FAM64A', 'GNB2L1', 'AGTRAP', 'PITPNC1', 'NDRG4']",AGTRAP
ATAD3B,['PPP2R2D'],ATAD3B
MAPKAPK3,"['MAPK11', 'MAPK14', 'PHC2', 'HSPB1', 'TCF3', 'PRKRIR']",MAPKAPK3
CDK5RAP3,"['CDH4', 'TUBG1', 'UFL1', 'HSPA4', 'UFC1', 'TAX1BP3', 'CDKN2A', 'DDRGK1', 'TMEM55A']",CDK5RAP3
NAF1,"['NOP10', 'SHQ1', 'NHP2', 'DKC1']",NAF1
LCP2,"['GRAP2', 'EGFR', 'GRB2', 'ITK', 'FYB', 'PTPN6', 'PLCG1', 'PIK3R1', 'ZAP70', 'LYN', 'CBL', 'TNK2', 'VAV1', 'SHB', 'SYK', 'NCK2', 'NCK1']",LCP2
TIMM9,['TIMM10'],TIMM9
LMO2,"['GATA2', 'SSBP2', 'MAPRE3', 'GATA1', 'MBIP', 'MAPRE2', 'RELA', 'TAL1', 'UBA6', 'LDB1', 'KDM5A', 'HNRNPM', 'MLLT4', 'STAT1']",LMO2
SHKBP1,"['CUL3', 'ARIH1', 'PTPN3', 'SH3KBP1']",SHKBP1
POP4,"['RPP38', 'POP1', 'C3orf17', 'POP5', 'RPP25']",POP4
ATP1A2,"['ZNRF2', 'ZNRF1']",ATP1A2
KIAA0753,"['CCDC14', 'PIBF1', 'GTSE1', 'CEP55', 'POC5', 'MAP7D3', 'CEP131', 'STUB1', 'CEP72', 'LCA5', 'OFD1', 'CEP135', 'CSPP1', 'CEP128', 'CEP162', 'MAP7D2', 'CEP63', 'FGFR1OP', 'PCM1', 'CKAP2', 'MED4', 'CCDC138', 'CEP350', 'RPGRIP1L']",KIAA0753
TAC1,"['TACR2', 'TACR1', 'BAG6']",TAC1
AKAP12,['ADRB2'],AKAP12
SYBU,['DTNBP1'],SYBU
MKNK2,"['MAPK1', 'VHL', 'EIF4G1', 'MAPK14']",MKNK2
INSM1,"['SORBS1', 'CCND1', 'KDM1A']",INSM1
ACTR5,"['YY1', 'INO80B', 'UCHL5', 'TFPT', 'RUVBL2', 'INO80E', 'NFRKB', 'INO80D', 'ACTR8', 'INO80', 'MCRS1', 'INO80C', 'RUVBL1', 'ACTL6A']",ACTR5
FOXG1,"['TLE1', 'FOXH1', 'AR', 'KDM5B']",FOXG1
SRSF8,"['SREK1', 'SRPK1', 'SRPK2']",SRSF8
KLHL12,"['PEF1', 'KHSRP', 'KLHL26', 'BAG6', 'SEC31A', 'SNX20', 'KLHL2', 'KIAA1715', 'PRR13', 'UBXN7', 'DRD4', 'SDCBP', 'KLHL12', 'WDYHV1', 'CUL3', 'UBC', 'PDCD6', 'ATXN1', 'DVL3']",KLHL12
RERE,"['ATN1', 'HDAC2', 'WDR5', 'HDAC1', 'EHMT2']",RERE
