Genes,Interactors,Norm_Symbol
GPR50,"['MAS1', 'TMEM171', 'SDC2', 'HLA-C', 'GPR114', 'HTR2C', 'IPPK', 'TNFRSF1A', 'LPAR1', 'GRPR', 'CLEC2D', 'TACR1']",GPR50
MDM1,"['POC1A', 'MAGEA4']",MDM1
XYLT2,"['LPAR1', 'IDS', 'FAM134C', 'LYPD4', 'SCGB2A2', 'SGK196', 'GPC1', 'TAZ', 'CAMK1D', 'UST', 'CLEC2D', 'B4GALT3']",XYLT2
HEY1,['HEY2'],HEY1
RND2,['USP47'],RND2
RMND5A,"['HTRA2', 'JPH4', 'ZMYND19', 'PAPD7', 'C20orf11', 'C17orf39', 'YPEL5', 'ARMC8', 'TDGF1', 'PRG2', 'MKLN1', 'CCDC120', 'RANBP9', 'IKZF1', 'MRPL4', 'WBP5', 'RANBP10', 'PRG3', 'INSL6', 'PRICKLE3', 'NDUFS6', 'MAEA', 'WARS2', 'TIGD5', 'PIGT', 'BMP1', 'WDR26']",RMND5A
CCBP2,['CDK18'],CCBP2
ARHGEF18,['LTBR'],ARHGEF18
SERPINA12,"['TXNDC15', 'TCTN3', 'LAMB1', 'WDR75', 'CTAGE5', 'ODZ3', 'GMCL1', 'PLK2', 'TOX4', 'DENND1B', 'GLYR1', 'SUSD5', 'PI4KA', 'ASPH', 'PNPT1', 'GPR98', 'KIAA1549', 'FCF1', 'PLCZ1', 'TSPAN6', 'ZSCAN12', 'RBFOX1', 'SEZ6L2', 'PTPRG', 'LRP5', 'PVRL2', 'CUL1', 'NONO', 'FTH1', 'ITGA2', 'KIAA0319L', 'CIDEA', 'KIR3DS1', 'VAV1', 'SEC22C', 'MIA3', 'C21orf59']",SERPINA12
ZDHHC13,"['WBP1', 'IPPK', 'MRAP2', 'CD83', 'C3AR1', 'SPINT2']",ZDHHC13
CIRBP,"['PRMT5', 'PAIP2B', 'YARS2', 'PRMT6', 'WDR77', 'NGRN', 'MRPL1', 'C17orf79', 'RIOK1', 'PRMT1', 'C7orf30']",CIRBP
GH2,"['METAP1', 'ISCA1']",GH2
GPR161,"['USP12', 'PRKACB', 'BTRC', 'RTN4', 'GNB4', 'LMBR1', 'FBXW11', 'UBE2Q1', 'PRKACG', 'JPH1', 'GOLGA5', 'PRKAR1B', 'PRKACA', 'ATP2B2', 'PRKAR1A']",GPR161
CD3E,"['LNPEP', 'C10orf35', 'GP1BB', 'LOC100507680', 'GHDC', 'TM2D3']",CD3E
MEX3B,"['PIP4K2A', 'ENPP6']",MEX3B
NEU4,"['LONP1', 'ZNF259', 'ZMYND19', 'RPUSD2', 'SUGT1', 'HSPD1', 'GCA', 'C17orf39', 'IFI30', 'AIP']",NEU4
C19orf26,"['CACNB1', 'STARD3', 'PPP1CC', 'CACNB3', 'TMC6', 'FADS3']",C19orf26
NPAS1,"['TUBB1', 'PRKACB', 'HSPA8', 'ARNT2', 'DNAJB5', 'AKAP1', 'CRYBG3', 'ATG2B', 'ARNT', 'SMG7', 'FAM83D', 'PPP6R1', 'HAUS6', 'PRUNE', 'TUBB3']",NPAS1
SYNJ2,['SH3KBP1'],SYNJ2
CLEC2D,"['ATP7A', 'NLRX1', 'SV2A', 'ND5', 'CNTNAP3', 'LSR', 'ATF6', 'ABCB6', 'FASTKD1', 'ARV1', 'ATP7B', 'TMX4', 'SLC7A3', 'SLC47A1', 'TMEM184B', 'FRMD5', 'LPHN3', 'SLC19A2', 'ATP12A', 'ATF6B', 'SLC25A20', 'ECEL1', 'NARS2', 'TMEM9B', 'ST6GALNAC3', 'FAM3C', 'SLC22A23', 'ACTB', 'FAM69A', 'GPR89A', 'SLC39A1', 'CHPT1', 'KIAA1586', 'LPHN1', 'TMEM68', 'TM9SF1', 'LMBR1', 'FANCL', 'GP1BB', 'TMEM120A', 'COLEC12', 'SLC39A11', 'STARD3', 'TMEM120B', 'DYNC2LI1', 'INTS4', 'DNAJC1', 'POMGNT1', 'ATP8B2', 'KIAA1244', 'SLC25A6', 'FAM55C', 'METTL9', 'BACE2', 'S1PR1', 'PTPRU', 'LCLAT1', 'C17orf75', 'GPR50', 'SLC2A8', 'CANX', 'SUSD1', 'FNDC3A', 'ABCB8', 'EVI5L', 'GLRB', 'FAM189B', 'FAM8A1', 'XYLT2', 'GAS6', 'SLC22A18', 'GYLTL1B', 'NETO2']",CLEC2D
A1CF,"['PSMG2', 'PSMG3']",A1CF
C1orf51,"['IGHA2', 'OGT', 'TPM2']",C1orf51
ORMDL1,"['TTC33', 'NEMF', 'SLC22A9', 'DCUN1D5']",ORMDL1
WDR73,"['SLC2A14', 'RFPL2', 'HDAC7', 'DNAJC11', 'ALDH3B1']",WDR73
GPR180,['SGCA'],GPR180
KAT2A,"['CCDC101', 'MBIP', 'PLAC1', 'TADA3', 'IKZF5', 'ATXN7L3', 'TAF6L', 'MAGEA10', 'WDR5']",KAT2A
F11R,"['MBLAC2', 'PICK1', 'IL12A']",F11R
EFR3B,"['HOXB5', 'GJB7', 'RNASE3', 'TMEM185A', 'FCAR', 'TIGD5', 'RGS20']",EFR3B
MCM4,"['L3MBTL1', 'CENPA', 'HIST1H2BA', 'HIST1H4A', 'ASF1B', 'MCM3', 'MCM10', 'HIST1H3A', 'H2AFX', 'H2AFY2', 'ASF1A', 'SSRP1']",MCM4
AKR7A2,['AKR7A3'],AKR7A2
ZNF22,"['RPL18', 'RPL36AL', 'ZNF624', 'ZNF71', 'HIST1H1C', 'RPL26L1', 'RPL14', 'DDX52', 'WDR46', 'NPM1', 'RPL37A', 'RPL30', 'PPAN', 'ZNF2', 'RPL7', 'RPS3A', 'H2AFX', 'HIST1H1A', 'DGCR8', 'ZNF808', 'SRRM1', 'TPM2']",ZNF22
PIK3CD,['PIK3R3'],PIK3CD
ETV5,"['RFWD2', 'UBE2E3', 'DET1', 'STK40']",ETV5
ZNF84,['TRIM28'],ZNF84
SOX21,['SOX2'],SOX21
EHF,"['CST6', 'KPRP', 'ARG1']",EHF
FABP1,"['EPHA4', 'GNPNAT1']",FABP1
SNX27,"['FGG', 'CP', 'HPX', 'APOA1', 'FGB', 'IGLL5', 'CST1', 'LYZ', 'SERPINA1', 'KNG1', 'ORM1', 'IGHA2', 'LCN2', 'LCN1', 'AHSG', 'C6orf58', 'PLUNC', 'C20orf114', 'SCGB1D1', 'ZG16B', 'LTF', 'HP', 'GPR156', 'FIG4', 'TF', 'IGHG4', 'CST4', 'IGHG3', 'FAM19A3', 'RASSF1', 'SCGB2A1', 'IGLC2', 'C3', 'SERPINA3', 'IGHG1', 'LACRT', 'MRAP2', 'VPS26B', 'IGJ', 'DMBT1', 'CHRDL1', 'APOA4', 'IGHA1', 'LRRC36', 'IGHG2', 'IGHM', 'ALB', 'CDS1', 'PIGR', 'FGA', 'C4A', 'TTR', 'PRR4', 'C10orf47']",SNX27
POLR3GL,"['POLR3H', 'POLR3K', 'CHRNA9', 'POLR3A', 'POLR3C', 'POLR1D', 'POLR3B', 'POLR3F', 'CRCP', 'POLR2L', 'POLR3D', 'POLR1C', 'OBSL1', 'POLR3E']",POLR3GL
PLEKHA6,['MYBPHL'],PLEKHA6
GRIP1,['FNTB'],GRIP1
PDE9A,['UNC119'],PDE9A
ACTR10,"['RHOC', 'CAPZA2', 'DCTN2', 'RIC8A', 'DCTN1', 'BCL7C', 'C1orf106', 'CCDC120', 'LOC554223', 'PDGFD', 'ACTBL2', 'MAPK8IP3', 'KLHL2', 'MIS18A', 'DEFB127', 'RPS19BP1', 'CSPP1', 'ACTR1B', 'C16orf45', 'DCTN6', 'NEXN', 'NGEF', 'UQCRH', 'GPS2']",ACTR10
NR3C1,['IL17RA'],NR3C1
ZNF224,"['NOTCH3', 'ZNF813', 'LRP4', 'SORL1', 'LRP1B', 'PTX3', 'LRP2']",ZNF224
UCP2,"['CST2', 'ZG16B', 'SERPINB4', 'NCCRP1', 'PIGR', 'IGHA2', 'CRNN', 'MUC7', 'CST4', 'AMY1C', 'FLG', 'SERPINB3']",UCP2
MBD6,['ASXL2'],MBD6
SERPINA10,"['RGS2', 'CTAGE5', 'MIA3', 'PLAT']",SERPINA10
PGGT1B,"['HEYL', 'TSKS', 'SRGAP3', 'AMMECR1L']",PGGT1B
RAD50,"['MAF1', 'LRRC39', 'RAB39B', 'ZFAND2B', 'C9orf25', 'FAM196A', 'CELA2B', 'ZNF511', 'BMP1', 'RGS20', 'HS1BP3', 'ATG14']",RAD50
TPSB2,"['GALNS', 'TUBB4', 'TUBA1A', 'TUBB2B', 'SEL1L', 'TUBB2A', 'TPSAB1', 'ACOT9', 'TUBB8', 'TUBA1C', 'PC', 'XRCC3', 'PRKD2', 'TUBB3']",TPSB2
NUSAP1,"['CST6', 'S100P', 'RANBP2', 'B2M', 'RCC1', 'GSTA2', 'C5orf30', 'GAPDHS', 'NUP153', 'HP1BP3']",NUSAP1
ABCD4,"['PCDHA3', 'FSHR', 'SLC17A2', 'PDGFRB', 'KIAA1467', 'TNFRSF10A', 'ATP2B2', 'KCNA5', 'FAM189B']",ABCD4
PHLPP2,"['USP46', 'LRRC6']",PHLPP2
NT5C,"['ARPC1B', 'RAP1GDS1', 'ZNF581', 'C1orf86', 'SIRPD', 'FLNC']",NT5C
ANXA7,['MOBKL1B'],ANXA7
EPHX1,"['RAB34', 'PCDHGA5', 'TSPAN17', 'FAM189A2', 'TRAF1', 'MFSD8', 'SRPRB', 'KCNS3', 'PTGER3', 'TMEM30A', 'PCDHGB4', 'C21orf63', 'NMUR2', 'SPINT2']",EPHX1
USP19,"['SKP2', 'IRF3', 'FKBP6', 'CRYL1', 'DOCK5', 'DNAJC7', 'AURKC', 'FERD3L']",USP19
GALT,"['ARPC3', 'NRBF2', 'UBTD2', 'HLA-DQA1']",GALT
CYP27C1,['ADAM32'],CYP27C1
C3orf43,"['MAPK8IP3', 'SPAG9']",C3orf43
ST6GALNAC4,"['VTN', 'KLRG2']",ST6GALNAC4
BHMT2,"['BHMT', 'INPPL1', 'TBCE']",BHMT2
SGPL1,"['CACNG5', 'VSIG4', 'TMEM206', 'CDH5', 'TRIM9', 'P2RX1', 'ANKRD12', 'MORF4L1', 'IL13RA2', 'SEMA7A', 'BTN2A1', 'ZNRF4', 'ISLR', 'AIFM1', 'MED21', 'TUSC5']",SGPL1
ZNF644,"['RPL18', 'ZNF462', 'XAGE2', 'ZNF223', 'NCAPH2', 'APOBEC3D', 'XAGE3', 'SKAP1', 'F9', 'SUV39H2', 'L3MBTL1', 'SUV39H1', 'PPAN', 'SIRT6', 'RPL28', 'MIER2', 'FAM188A', 'IL17RA', 'PCGF6', 'FBL', 'CDC16', 'LZTS2', 'ZNF324B']",ZNF644
NADK,['RBM42'],NADK
GABPA,"['GABPB1', 'GABPB2', 'TPD52L2', 'YEATS4']",GABPA
EGFL6,"['HSPA5', 'IDE', 'CCDC85C', 'SORL1', 'SYVN1', 'ALG13', 'LRP2', 'LRP1B', 'HDGF', 'FAM8A1', 'ZZEF1', 'LDLR', 'HECTD3']",EGFL6
SEMA6D,['TPM2'],SEMA6D
MUC7,"['ZNF491', 'GKN1', 'NPB', 'GTF2B', 'FRMD1', 'RCAN2', 'KIR2DS2', 'CAMK1D', 'UCP2']",MUC7
ANKRD13B,['GNAI3'],ANKRD13B
ARPC1B,"['ARPC5', 'ARPC2', 'ARPC5L', 'ARPC4', 'ACTR3', 'POGK', 'NT5C', 'ACTR2', 'ACTR3B']",ARPC1B
DLG1,"['GJB7', 'MPP2', 'GPRC5B', 'LIN7C', 'PRDM1', 'EFNB3']",DLG1
ZNF692,"['RRP7A', 'DDX24', 'NSD1', 'RBM34', 'DDX27', 'RPF2', 'POLR1E', 'GTPBP4', 'DDX54', 'RPL26L1', 'REXO4', 'IMP4', 'WHSC1', 'ASTE1', 'PWP2', 'FBXO11', 'MGA', 'RAD18', 'C18orf25', 'RPS26P11', 'HIBADH', 'CEBPZ', 'STAT2', 'KBTBD8', 'TRMT1L', 'SPTY2D1', 'DDX31', 'POP1']",ZNF692
WDR24,"['SEC13', 'GATSL3', 'CCT7']",WDR24
SLMO1,['TRIAP1'],SLMO1
ZNF211,"['EHMT2', 'STRN4', 'TRIM37', 'NT5DC3', 'USP34', 'ZNF416', 'SMARCAD1']",ZNF211
TANC2,"['PAK7', 'PPP1CC', 'PPP1CA', 'ZYX']",TANC2
GRK5,['GRK6'],GRK5
LINGO2,"['TRIM11', 'CNPY3', 'SLC34A2', 'LMAN2L', 'PTPRD', 'CARKD', 'GAPDHS', 'SMURF2', 'LINGO1', 'STK11IP', 'LGALS1']",LINGO2
PAK1IP1,"['RPL18', 'DGCR8', 'RPL37A', 'RBM34', 'RPL30', 'PPAN', 'CNBP', 'ZNF2', 'WDR46', 'PRR11', 'RBM4', 'HIST1H1E']",PAK1IP1
E2F5,"['GGA1', 'GMNN', 'TFDP2']",E2F5
LRRC36,"['CNDP2', 'TBL1X', 'SNX27', 'GOLGA3', 'ISCA1', 'HSPA9', 'SUFU']",LRRC36
RPLP2,"['SART3', 'RRS1', 'DGCR8', 'RPL37A', 'RBM34', 'MECP2', 'CNBP', 'RPL8', 'MAGEB10', 'RPL28']",RPLP2
NPTX1,"['LYZL2', 'NAPSA', 'GDF3', 'LYZL1', 'LIPF', 'IL12RB1', 'MMP10', 'DEFA1', 'WNT7A', 'LYPD4', 'CYB5D2', 'LYPD1', 'TAZ', 'CD96', 'PNLIPRP1', 'PVRL3', 'TCTN1', 'ZPBP2', 'PTCH1', 'WNT5A', 'EPHA7', 'SIAE', 'HSD11B1', 'CHST10', 'GXYLT1', 'FCGR3B', 'IFI30', 'OGN', 'TM2D3']",NPTX1
TAOK1,"['C9orf6', 'STK25']",TAOK1
KIAA0564,"['CLEC11A', 'NUDT12', 'C10orf47', 'BMP5', 'BMP7', 'DKKL1', 'ENDOV', 'EEF1D', 'IDI1', 'HSPB8', 'KERA', 'PARP16']",KIAA0564
HS3ST3B1,['HLA-DPA1'],HS3ST3B1
TUBG1,"['LGALS3BP', 'TUBGCP5', 'MZT2B', 'TUBG2', 'TXNDC12', 'MZT1']",TUBG1
TMED10,"['TMED1', 'GOLGB1', 'TMED4', 'LIPG', 'TMED7', 'FGF3', 'TMED3']",TMED10
SNX6,"['CCDC102B', 'POTEB', 'FGB', 'TEAD4', 'SNX1', 'SNX32', 'VAPB', 'USP46', 'SNRNP27', 'TREML2', 'CAMKMT', 'HENMT1', 'DNM3', 'GATS', 'EPB42', 'USP47', 'TCTEX1D2', 'C7orf46', 'TSPYL1']",SNX6
HEATR5A,"['KIF6', 'PPM1B', 'SCOC']",HEATR5A
PPP1R15B,"['CHRNA9', 'FSHR', 'TMPRSS3', 'FGFRL1', 'C19orf75', 'SLC17A2', 'FBXW11', 'ZNRF4', 'CHRM4', 'PPP1CC', 'PTGER3', 'TNFRSF10A', 'VTI1B', 'ABCB5']",PPP1R15B
UNC45A,"['MYO1E', 'FAM83H', 'CDK17', 'MYH14', 'MYO1C', 'SLC27A2']",UNC45A
TUBA3C,"['HSFY1', 'ZNF610', 'P2RY8', 'FAM71D', 'CHRM3', 'SH2D4A', 'ZNF416', 'ATP6V0D1', 'ARHGAP36', 'HMGB1', 'TXNDC9', 'ROGDI', 'HIST1H4A', 'C9orf171', 'ARL4D', 'PML', 'BCHE', 'GPN2', 'MTM1', 'OLFM1', 'CCT3', 'LRRCC1', 'CST7', 'TCP11L2', 'FAM134C', 'DCAF12', 'ZNF24', 'TTC5', 'UTP3', 'FAM13C', 'LGALS7', 'STXBP3', 'HJURP', 'CCT2', 'TUBA1A', 'FEZ1', 'ZNF384', 'KIAA1919', 'ZNF408']",TUBA3C
EPRS,"['LARS', 'SDCBP', 'RARS', 'AIMP1', 'QARS', 'KARS']",EPRS
KCNJ3,['KCNJ5'],KCNJ3
