Genes,caudate,cerebral cortex,hippocampus,hypothalamus,Norm_Symbol
CBLL1,1,0,2,0,CBLL1
ELK3,1,1,1,0,ELK3
C1orf131,2,3,3,0,C1orf131
KHDC4,1,1,0,0,KHDC4
LIPT1,1,0,1,0,LIPT1
STK39,2,1,1,0,STK39
PGA3,1,2,2,0,PGA3
TRIOBP,2,2,3,0,TRIOBP
POLR3H,1,2,2,0,POLR3H
TOR1A,2,2,2,0,TOR1A
TMEM259,0,2,1,0,TMEM259
JPT1,2,3,3,0,JPT1
BDH2,0,0,0,0,BDH2
PGRMC1,3,3,3,0,PGRMC1
DEFB104A,1,1,1,0,DEFB104A
DALRD3,1,0,0,0,DALRD3
CRLF3,0,0,0,0,CRLF3
CNNM1,2,2,2,0,CNNM1
CORO1C,0,0,0,0,CORO1C
WDR75,2,3,3,0,WDR75
USH1C,2,2,2,0,USH1C
ACER3,0,0,0,0,ACER3
SAMD4B,0,0,0,0,SAMD4B
UCHL5,0,0,0,0,UCHL5
NPC1,3,3,3,0,NPC1
NRCAM,1,2,1,0,NRCAM
MMP8,1,1,0,0,MMP8
GMFB,0,0,0,0,GMFB
STAU2,0,0,0,0,STAU2
PLEKHA6,0,0,0,0,PLEKHA6
ZDHHC20,0,0,0,0,ZDHHC20
CCT4,1,0,1,0,CCT4
GAP43,2,3,3,0,GAP43
SPACA7,2,1,0,0,SPACA7
SLC25A22,2,2,2,0,SLC25A22
RGL2,0,0,0,0,RGL2
DNAJA1,0,0,0,0,DNAJA1
CRIPT,2,1,2,0,CRIPT
RING1,0,0,0,0,RING1
CHRM1,1,2,1,0,CHRM1
BCL6,3,3,3,0,BCL6
RRAGD,1,0,0,0,RRAGD
KRT25,0,0,0,0,KRT25
PRPF40B,1,0,1,0,PRPF40B
DNAAF1,2,1,2,0,DNAAF1
PTCHD3,3,3,1,0,PTCHD3
FGF21,0,0,0,0,FGF21
PGD,1,1,1,0,PGD
MRPL57,3,3,0,0,MRPL57
SPACA3,0,0,0,0,SPACA3
EAPP,3,3,3,0,EAPP
DCP1B,0,0,0,0,DCP1B
TRAPPC2,1,2,3,0,TRAPPC2
PIN1,1,0,1,0,PIN1
FMNL1,2,2,2,0,FMNL1
DDX50,0,1,1,0,DDX50
CD40LG,0,0,0,0,CD40LG
CNOT10,2,2,2,0,CNOT10
TCF7L2,2,2,1,0,TCF7L2
NPW,3,3,3,0,NPW
TMEM126A,1,2,1,0,TMEM126A
DUSP14,0,1,1,0,DUSP14
MTMR2,2,2,1,0,MTMR2
ERH,0,0,0,0,ERH
SFTPD,0,0,0,0,SFTPD
FRMD8,1,1,1,0,FRMD8
JCAD,2,1,0,0,JCAD
FNBP1,2,3,3,0,FNBP1
C22orf42,2,2,2,0,C22orf42
ALDH7A1,0,0,0,0,ALDH7A1
MGAT3,2,3,3,0,MGAT3
MCAT,3,3,3,0,MCAT
TCTEX1D4,2,3,3,0,TCTEX1D4
C8orf48,0,0,0,0,C8orf48
FCRL1,0,0,0,0,FCRL1
GPAM,2,2,2,0,GPAM
CT47A5,1,2,1,0,CT47A5
PCDHGA2,0,0,0,0,PCDHGA2
TMPRSS2,1,1,1,0,TMPRSS2
URGCP,2,2,2,0,URGCP
CYLD,0,0,0,0,CYLD
GAD2,0,0,0,0,GAD2
LIMS1,0,0,0,0,LIMS1
N4BP1,0,0,0,0,N4BP1
IRF6,2,3,3,0,IRF6
MYCBPAP,0,0,0,0,MYCBPAP
ZFR,2,2,2,0,ZFR
HCAR3,2,3,3,0,HCAR3
SEMG1,1,2,1,0,SEMG1
CDV3,2,2,2,0,CDV3
LSG1,2,2,2,0,LSG1
GABPB1,0,0,0,0,GABPB1
ERV3-1,0,1,0,0,ERV3-1
BTNL8,3,3,3,0,BTNL8
HEBP2,2,0,2,0,HEBP2
ANKRD6,2,3,3,0,ANKRD6
PKNOX1,1,2,2,0,PKNOX1
CNIH4,2,2,2,0,CNIH4
TNNC1,0,0,0,0,TNNC1
ING4,2,2,2,0,ING4
SLC32A1,1,1,1,0,SLC32A1
NUP85,1,1,1,0,NUP85
UBL4B,1,1,1,0,UBL4B
ORM1,3,3,3,0,ORM1
MICOS10,2,1,1,0,MICOS10
CRISP2,0,0,0,0,CRISP2
RNF7,2,1,1,0,RNF7
RBM42,2,2,2,0,RBM42
UPB1,2,2,2,0,UPB1
ATP11A,0,0,0,0,ATP11A
BIRC3,0,1,0,0,BIRC3
COX11,0,0,0,0,COX11
YIF1A,1,1,0,0,YIF1A
CERS3,0,0,1,0,CERS3
ANXA1,2,2,1,0,ANXA1
CASR,2,2,2,0,CASR
DHRS11,0,0,0,0,DHRS11
TRIM27,3,3,2,0,TRIM27
ELMOD2,2,2,2,0,ELMOD2
HCST,0,0,0,0,HCST
