Genes,caudate,cerebral cortex,hippocampus,hypothalamus,Norm_Symbol
C4BPA,1,1,1,0,C4BPA
DUSP19,0,1,0,0,DUSP19
EGFR,0,0,0,0,EGFR
PPT1,3,2,3,0,PPT1
STAP1,0,1,1,0,STAP1
UBAP1,3,2,2,0,UBAP1
ZNF540,2,1,2,0,ZNF540
GRB2,1,2,2,0,GRB2
APCS,1,1,0,0,APCS
ZNF83,3,3,3,0,ZNF83
RRAGA,0,0,0,0,RRAGA
SPATC1L,0,0,0,0,SPATC1L
HP1BP3,2,2,0,0,HP1BP3
PHLPP2,2,2,1,0,PHLPP2
LIG4,0,0,0,0,LIG4
ANAPC5,1,1,1,0,ANAPC5
WDR63,2,2,2,0,WDR63
ATG7,0,0,0,0,ATG7
ANO1,0,1,0,0,ANO1
SENP7,2,2,2,0,SENP7
GGCT,3,3,2,0,GGCT
PSENEN,1,1,2,0,PSENEN
SMPD3,3,3,3,0,SMPD3
CALCOCO1,1,1,1,0,CALCOCO1
SPAG1,1,0,0,0,SPAG1
FBXL4,2,2,2,0,FBXL4
DPP4,2,3,3,0,DPP4
RPAP2,3,3,3,0,RPAP2
CALCOCO2,0,0,0,0,CALCOCO2
STXBP5,1,2,2,0,STXBP5
KCNB1,0,0,0,0,KCNB1
RAD50,1,1,2,0,RAD50
PHACTR1,1,2,1,0,PHACTR1
CEP19,3,3,3,0,CEP19
PLEKHJ1,0,0,0,0,PLEKHJ1
ZNF148,3,3,3,0,ZNF148
PTPRO,3,3,1,0,PTPRO
BPIFA3,0,2,2,0,BPIFA3
SYT1,0,0,0,0,SYT1
PRPF40A,0,0,0,0,PRPF40A
ANGPTL3,0,0,0,0,ANGPTL3
NPIPB7,2,2,2,0,NPIPB7
ANO9,1,1,1,0,ANO9
ANXA11,0,0,0,0,ANXA11
UBR1,2,2,2,0,UBR1
CPE,1,1,2,0,CPE
CT45A9,3,3,3,0,CT45A9
RNASE12,2,1,0,0,RNASE12
CORO1B,1,2,1,0,CORO1B
CES1,1,0,2,0,CES1
CCDC115,1,2,1,0,CCDC115
AC092718.3,3,1,0,0,AC092718.3
MAST1,3,2,2,0,MAST1
SCAMP2,1,1,2,0,SCAMP2
SPAG9,2,2,2,0,SPAG9
CA4,3,3,3,0,CA4
COTL1,3,3,3,0,COTL1
NBPF15,2,2,1,0,NBPF15
BMF,0,1,0,0,BMF
ATP5MG,0,0,0,0,ATP5MG
AGER,2,1,1,0,AGER
C3orf18,2,1,2,0,C3orf18
PDE4D,0,0,0,0,PDE4D
ADRM1,3,3,3,0,ADRM1
CEACAM3,2,2,2,0,CEACAM3
RSPO2,0,0,0,0,RSPO2
EVI5L,2,2,2,0,EVI5L
MAP4K3,2,1,0,0,MAP4K3
SIX5,1,1,1,0,SIX5
SIX6,2,0,0,0,SIX6
PDK3,1,0,1,0,PDK3
TNS1,0,2,0,0,TNS1
IRF1,1,1,1,0,IRF1
PPP2R5E,1,0,1,0,PPP2R5E
MINDY4,2,2,1,0,MINDY4
DBNL,2,2,2,0,DBNL
NOM1,0,0,0,0,NOM1
MAN2B1,1,3,2,0,MAN2B1
UCK1,0,0,0,0,UCK1
S100PBP,0,2,1,0,S100PBP
NOC2L,0,0,0,0,NOC2L
EDEM3,1,1,1,0,EDEM3
KANK2,3,3,3,0,KANK2
ARNT2,2,2,2,0,ARNT2
SCML1,2,1,1,0,SCML1
ENPP6,0,0,0,0,ENPP6
LEPR,2,2,3,0,LEPR
EPB41L3,3,2,2,0,EPB41L3
CD320,0,0,1,0,CD320
COX18,0,1,1,0,COX18
SOCS1,0,0,0,0,SOCS1
FAM187A,0,1,1,0,FAM187A
NOB1,1,1,1,0,NOB1
ZNF215,3,2,3,0,ZNF215
COX19,0,0,0,0,COX19
MFSD1,2,2,2,0,MFSD1
DENND4C,0,0,2,0,DENND4C
FNIP1,2,3,3,0,FNIP1
TLE2,2,2,2,0,TLE2
COX10,0,0,0,0,COX10
TULP4,3,2,2,0,TULP4
HUS1,0,0,0,0,HUS1
ISM2,1,1,1,0,ISM2
CD1B,0,0,0,0,CD1B
MYOZ3,3,3,3,0,MYOZ3
GEMIN6,2,2,2,0,GEMIN6
MTHFD1,1,2,1,0,MTHFD1
GSTM2,0,0,0,0,GSTM2
LAGE3,1,1,2,0,LAGE3
GYG1,2,3,2,0,GYG1
CLN6,1,1,2,0,CLN6
FOSB,0,1,1,0,FOSB
CEP131,0,0,0,0,CEP131
KIAA1522,2,1,2,0,KIAA1522
MARC2,1,0,0,0,MARC2
EIF3G,2,2,2,0,EIF3G
PRIMA1,2,0,2,0,PRIMA1
RAB2A,2,3,3,0,RAB2A
GCNT3,0,0,0,0,GCNT3
HDGFL1,1,0,0,0,HDGFL1
AKAP10,0,0,0,0,AKAP10
SKI,2,0,2,0,SKI
NGFR,2,2,3,0,NGFR
MARCHF8,0,0,0,0,MARCHF8
DNAJC13,0,0,0,0,DNAJC13
RTL6,2,2,2,0,RTL6
NDUFS5,0,0,0,0,NDUFS5
RPUSD4,0,0,0,0,RPUSD4
NUP133,1,0,0,0,NUP133
ANAPC2,0,0,0,0,ANAPC2
TRARG1,0,0,0,0,TRARG1
BRD3,0,0,0,0,BRD3
AVPR2,3,3,3,0,AVPR2
TBL3,1,2,2,0,TBL3
SLC9A3R1,0,0,0,0,SLC9A3R1
ANGPTL2,0,0,0,0,ANGPTL2
SFN,1,2,2,0,SFN
MAD1L1,3,3,2,0,MAD1L1
SLC35B3,3,3,0,0,SLC35B3
GPATCH3,2,1,2,0,GPATCH3
SIKE1,1,2,1,0,SIKE1
PRRT2,0,0,0,0,PRRT2
TRPM2,2,1,2,0,TRPM2
CCDC80,2,3,2,0,CCDC80
CASKIN2,2,2,1,0,CASKIN2
GLYATL1,2,2,2,0,GLYATL1
CYP24A1,3,3,3,0,CYP24A1
NPIPB9,0,0,0,0,NPIPB9
NLGN3,2,2,2,0,NLGN3
H2AC7,2,2,1,0,H2AC7
PLXNA2,1,1,1,0,PLXNA2
SYF2,2,2,2,0,SYF2
ETHE1,1,1,1,0,ETHE1
ESYT1,0,0,0,0,ESYT1
DNAH11,2,2,3,0,DNAH11
VDAC2,1,1,2,0,VDAC2
CD151,0,0,0,0,CD151
UQCRH,0,0,0,0,UQCRH
TGS1,0,1,0,0,TGS1
AVIL,0,1,0,0,AVIL
NFS1,1,3,2,0,NFS1
ETV3,2,2,2,0,ETV3
LMTK3,2,2,2,0,LMTK3
GDF11,0,0,0,0,GDF11
APRT,0,1,0,0,APRT
LRSAM1,0,1,0,0,LRSAM1
CD177,2,3,3,0,CD177
TOX4,1,1,2,0,TOX4
FAM122A,1,2,1,0,FAM122A
PIAS4,0,0,0,0,PIAS4
DUT,1,1,0,0,DUT
TBC1D14,1,1,1,0,TBC1D14
AHSG,3,3,3,0,AHSG
SLC6A12,2,3,3,0,SLC6A12
ABRACL,3,3,3,0,ABRACL
PPP1R11,1,2,1,0,PPP1R11
ZSCAN18,3,3,0,0,ZSCAN18
INTS12,0,0,0,0,INTS12
RPS6KA4,0,2,0,0,RPS6KA4
POM121,1,0,1,0,POM121
ATXN7L3,3,3,3,0,ATXN7L3
PSKH1,2,3,3,0,PSKH1
LPCAT2,1,0,2,0,LPCAT2
MRPS16,3,3,2,0,MRPS16
CUL1,0,0,0,0,CUL1
LVRN,2,3,3,0,LVRN
B4GALT6,0,0,0,0,B4GALT6
GSG1L,1,1,1,0,GSG1L
SIAE,0,1,1,0,SIAE
ZNF384,0,0,0,0,ZNF384
TOR1AIP1,1,2,1,0,TOR1AIP1
PIWIL1,1,1,0,0,PIWIL1
LXN,2,2,2,0,LXN
BCLAF3,2,3,1,0,BCLAF3
FABP7,0,0,0,0,FABP7
CLDN2,2,2,2,0,CLDN2
NFKBIE,1,0,2,0,NFKBIE
RPS16,0,0,0,0,RPS16
PLCD4,0,2,0,0,PLCD4
AFAP1L2,3,3,3,0,AFAP1L2
SLC2A9,0,1,0,0,SLC2A9
SLCO1B3,1,2,2,0,SLCO1B3
RWDD1,3,3,3,0,RWDD1
CYTB,0,0,0,0,CYTB
SPTA1,2,2,2,0,SPTA1
WRAP53,0,0,0,0,WRAP53
CTDP1,3,3,3,0,CTDP1
MYDGF,1,1,1,0,MYDGF
SRPK2,2,2,2,0,SRPK2
CRK,3,3,3,0,CRK
COASY,2,2,1,0,COASY
SPAG4,3,3,0,0,SPAG4
TMEM258,2,2,2,0,TMEM258
ANGPT1,0,0,0,0,ANGPT1
CROCC,3,3,0,0,CROCC
RBBP6,0,0,0,0,RBBP6
TPD52L1,2,2,2,0,TPD52L1
RFC4,0,0,0,0,RFC4
CHMP1B,2,1,2,0,CHMP1B
CD38,3,3,3,0,CD38
PREPL,2,2,2,0,PREPL
SLC27A5,2,2,2,0,SLC27A5
SLC7A1,0,0,0,0,SLC7A1
SLC22A3,1,3,2,0,SLC22A3
ADM,2,2,2,0,ADM
CPT1B,3,3,3,0,CPT1B
REEP5,2,3,2,0,REEP5
MGAT5,1,0,0,0,MGAT5
SPANXB1,0,0,0,0,SPANXB1
TNFRSF1B,0,2,2,0,TNFRSF1B
RAB17,2,3,3,0,RAB17
CCL27,2,3,3,0,CCL27
PCMTD2,2,1,1,0,PCMTD2
SALL2,3,3,3,0,SALL2
GMEB1,2,2,2,0,GMEB1
FABP6,1,2,1,0,FABP6
TFAP2B,0,0,0,0,TFAP2B
CHIA,2,3,2,0,CHIA
H2AC16,0,1,0,0,H2AC16
LHB,0,0,0,0,LHB
CTBS,2,2,2,0,CTBS
PGK2,0,0,0,0,PGK2
C11orf21,1,1,1,0,C11orf21
CDHR2,3,3,3,0,CDHR2
ACAP3,0,0,0,0,ACAP3
IL7,3,2,0,0,IL7
CWC27,1,0,1,0,CWC27
ARHGAP32,2,2,1,0,ARHGAP32
RASIP1,0,0,0,0,RASIP1
SNX17,0,0,0,0,SNX17
CSN2,0,1,0,0,CSN2
ACR,0,0,0,0,ACR
KRT17,0,0,0,0,KRT17
CHRNA3,2,3,2,0,CHRNA3
SDC3,1,0,0,0,SDC3
ZNF512,0,0,1,0,ZNF512
KCTD20,1,1,1,0,KCTD20
UPK1A,0,1,1,0,UPK1A
TKT,2,1,2,0,TKT
LASP1,3,3,3,0,LASP1
MYL12A,1,2,1,0,MYL12A
PPP1R18,3,3,2,0,PPP1R18
TIMM10,0,0,0,0,TIMM10
ZMAT1,0,0,0,0,ZMAT1
ZBTB49,1,0,0,0,ZBTB49
RBM44,2,1,0,0,RBM44
EXOSC1,3,3,3,0,EXOSC1
TAF6L,1,2,2,0,TAF6L
SLC46A1,2,2,1,0,SLC46A1
SLC25A11,2,2,1,0,SLC25A11
CHST15,2,1,2,0,CHST15
LFNG,0,0,0,0,LFNG
LYZL6,3,3,3,0,LYZL6
BVES,0,0,0,0,BVES
MICU2,3,2,0,0,MICU2
SLC25A38,0,2,2,0,SLC25A38
MVK,1,1,1,0,MVK
ALDH16A1,3,3,3,0,ALDH16A1
MKNK1,2,1,2,0,MKNK1
RBM26,3,3,3,0,RBM26
ABHD2,2,3,2,0,ABHD2
IGFBP4,0,0,0,0,IGFBP4
FTL,2,2,2,0,FTL
DGKE,2,2,2,0,DGKE
ZNRF1,0,0,0,0,ZNRF1
MS4A7,1,0,0,0,MS4A7
PPA1,1,1,1,0,PPA1
TRAPPC4,0,0,0,0,TRAPPC4
ALDOC,2,2,2,0,ALDOC
CXCL5,3,3,3,0,CXCL5
RPS7,0,0,0,0,RPS7
CLCNKA,2,3,2,0,CLCNKA
BCL3,2,3,2,0,BCL3
MRPL3,0,0,0,0,MRPL3
AP1S2,0,0,0,0,AP1S2
TUBGCP6,1,1,1,0,TUBGCP6
SLC66A1,1,2,2,0,SLC66A1
FAM83B,1,1,1,0,FAM83B
CNTN2,1,2,1,0,CNTN2
ORC6,2,2,2,0,ORC6
MDC1,0,0,0,0,MDC1
GYG2,2,2,3,0,GYG2
MASTL,2,3,0,0,MASTL
SEC11C,1,2,2,0,SEC11C
ASAH2B,0,0,0,0,ASAH2B
OXT,3,2,1,0,OXT
SPAG8,0,0,0,0,SPAG8
KLK4,1,0,0,0,KLK4
IFI16,1,1,0,0,IFI16
SERPINF2,2,2,2,0,SERPINF2
PROCA1,0,0,0,0,PROCA1
C2CD3,0,0,0,0,C2CD3
ADH6,1,2,1,0,ADH6
GAD1,3,3,1,0,GAD1
DMD,1,3,1,0,DMD
ISG20L2,1,1,2,0,ISG20L2
AK5,2,2,2,0,AK5
MRPS26,2,2,2,0,MRPS26
PRKN,2,3,2,0,PRKN
PGAM2,1,1,1,0,PGAM2
KCNJ1,1,2,2,0,KCNJ1
HMG20A,1,0,0,0,HMG20A
RHOG,2,2,2,0,RHOG
ZNF354B,2,0,0,0,ZNF354B
LRRC26,0,0,0,0,LRRC26
C2CD5,2,2,2,0,C2CD5
PPP2R2D,3,3,3,0,PPP2R2D
RPL31,0,0,0,0,RPL31
EGR1,2,2,0,0,EGR1
LIG1,2,3,3,0,LIG1
TRIM41,1,1,1,0,TRIM41
UBR2,0,0,0,0,UBR2
SART3,2,2,1,0,SART3
ELF1,1,0,1,0,ELF1
ZFP36,2,2,3,0,ZFP36
COX5B,0,0,0,0,COX5B
IGSF1,2,2,2,0,IGSF1
RNF20,1,1,0,0,RNF20
TLR3,1,0,0,0,TLR3
DCXR,0,1,0,0,DCXR
HBG1,2,2,2,0,HBG1
H4C5,0,0,0,0,H4C5
SPACA1,2,2,2,0,SPACA1
SETD3,1,1,1,0,SETD3
ATG4D,0,0,0,0,ATG4D
EEF1D,2,2,2,0,EEF1D
NSF,2,2,2,0,NSF
TOMM34,0,0,0,0,TOMM34
NDUFV3,2,1,0,0,NDUFV3
FAT2,2,2,1,0,FAT2
GTPBP10,0,0,0,0,GTPBP10
MRPS5,2,2,2,0,MRPS5
SMPD4,1,3,2,0,SMPD4
ALAS2,1,1,1,0,ALAS2
OBSL1,2,3,2,0,OBSL1
MEIS1,0,1,2,0,MEIS1
PROM2,0,0,0,0,PROM2
ADPRHL1,3,3,3,0,ADPRHL1
PLEKHA3,2,2,2,0,PLEKHA3
PSME3,0,0,0,0,PSME3
CDSN,0,0,0,0,CDSN
TFDP1,0,0,0,0,TFDP1
NGRN,0,0,0,0,NGRN
TBC1D10A,1,0,0,0,TBC1D10A
IVNS1ABP,1,2,0,0,IVNS1ABP
CCNH,2,2,2,0,CCNH
HNF4A,1,2,2,0,HNF4A
RAP1GDS1,0,0,0,0,RAP1GDS1
PRMT6,0,0,0,0,PRMT6
RARG,2,1,1,0,RARG
ACOT7,0,0,1,0,ACOT7
THAP5,0,0,0,0,THAP5
SAMHD1,2,2,0,0,SAMHD1
HOXB3,0,3,2,0,HOXB3
PRKDC,0,0,0,0,PRKDC
ENOSF1,2,3,2,0,ENOSF1
SLC25A20,2,2,1,0,SLC25A20
NAP1L5,0,1,0,0,NAP1L5
EMP2,0,0,0,0,EMP2
ZNF317,2,2,2,0,ZNF317
SRSF8,0,1,1,0,SRSF8
H1-2,3,3,3,0,H1-2
KPNA2,0,0,0,0,KPNA2
ZNF597,1,0,1,0,ZNF597
STK36,1,2,1,0,STK36
FAM104B,0,0,0,0,FAM104B
CDH16,2,3,3,0,CDH16
JAG1,3,1,2,0,JAG1
RTN4,2,3,1,0,RTN4
COX17,1,1,1,0,COX17
LIN7A,3,3,2,0,LIN7A
PDGFRB,0,0,0,0,PDGFRB
ABHD3,3,2,3,0,ABHD3
EFEMP1,0,0,0,0,EFEMP1
CAND2,0,0,0,0,CAND2
APOL1,0,1,2,0,APOL1
ECM1,2,3,3,0,ECM1
RPL18,1,0,0,0,RPL18
SH3BGRL2,0,0,0,0,SH3BGRL2
NDUFS3,1,0,0,0,NDUFS3
RECQL,2,2,2,0,RECQL
IGF2R,0,0,0,0,IGF2R
TRIM32,0,2,1,0,TRIM32
BDH1,2,1,2,0,BDH1
ARID4B,0,0,0,0,ARID4B
TTF2,0,0,0,0,TTF2
STX6,3,1,2,0,STX6
UBXN8,1,1,1,0,UBXN8
RPS15A,0,1,0,0,RPS15A
KIF20A,2,2,1,0,KIF20A
SOS2,0,1,0,0,SOS2
VGLL1,2,2,2,0,VGLL1
SPATA4,0,0,0,0,SPATA4
ALKBH4,1,3,2,0,ALKBH4
DEPDC1B,3,3,3,0,DEPDC1B
SBSN,0,0,1,0,SBSN
TBL1XR1,3,3,3,0,TBL1XR1
HMGB2,2,2,2,0,HMGB2
SMIM2,0,0,0,0,SMIM2
GGT6,2,1,2,0,GGT6
JUNB,0,0,0,0,JUNB
CDK16,0,0,0,0,CDK16
NME9,0,0,0,0,NME9
MRC1,0,1,0,0,MRC1
OPHN1,1,2,2,0,OPHN1
IRF2BP1,1,1,0,0,IRF2BP1
KCTD8,1,3,3,0,KCTD8
PNMA2,1,1,2,0,PNMA2
IMPA2,0,0,0,0,IMPA2
DUS2,1,1,1,0,DUS2
HMGB3,0,1,0,0,HMGB3
NFIC,2,2,0,0,NFIC
TGFBR3,0,0,0,0,TGFBR3
ZBTB8OS,0,0,0,0,ZBTB8OS
VEZT,2,2,2,0,VEZT
LAMP3,2,3,2,0,LAMP3
C20orf144,1,2,0,0,C20orf144
DERL1,1,1,1,0,DERL1
S100A16,1,0,0,0,S100A16
TMEM219,2,3,2,0,TMEM219
TIMD4,0,0,0,0,TIMD4
ZNF33A,1,2,2,0,ZNF33A
SLAMF7,0,1,0,0,SLAMF7
ZBTB44,0,0,0,0,ZBTB44
CARMIL2,0,0,0,0,CARMIL2
OTUD3,2,3,3,0,OTUD3
RSPH6A,0,0,0,0,RSPH6A
GNL3L,0,0,0,0,GNL3L
IGSF3,0,0,0,0,IGSF3
RDM1,0,1,0,0,RDM1
FKBP11,2,2,2,0,FKBP11
SEC23IP,0,2,0,0,SEC23IP
IYD,2,2,2,0,IYD
MARK2,0,0,0,0,MARK2
FCAMR,2,2,2,0,FCAMR
SMC2,0,0,0,0,SMC2
GLB1L,2,3,1,0,GLB1L
PAH,2,2,0,0,PAH
RUBCN,2,2,2,0,RUBCN
KLHL18,0,0,0,0,KLHL18
FZD4,3,2,0,0,FZD4
DDX60L,3,2,3,0,DDX60L
PCYOX1L,2,2,2,0,PCYOX1L
GPATCH1,2,3,2,0,GPATCH1
NUTM1,2,2,2,0,NUTM1
FCGR2A,2,3,2,0,FCGR2A
TPSAB1,0,0,0,0,TPSAB1
TSPOAP1,1,0,1,0,TSPOAP1
SHROOM3,1,2,0,0,SHROOM3
CARD8,2,2,2,0,CARD8
NR2C1,0,1,0,0,NR2C1
CHMP3,1,1,1,0,CHMP3
KLF16,3,3,3,0,KLF16
CDC42EP2,0,0,0,0,CDC42EP2
HAPLN2,2,2,1,0,HAPLN2
RYR2,2,1,0,0,RYR2
ST3GAL2,3,3,3,0,ST3GAL2
B3GNT2,3,2,3,0,B3GNT2
PLEKHM1,2,3,2,0,PLEKHM1
ABCB6,2,1,1,0,ABCB6
CD163L1,1,2,0,0,CD163L1
SIGIRR,0,1,1,0,SIGIRR
NDUFA12,0,0,0,0,NDUFA12
DOCK3,2,2,2,0,DOCK3
HSPA5,0,0,0,0,HSPA5
TK1,0,0,0,0,TK1
ARFGAP1,0,0,0,0,ARFGAP1
WDR62,1,2,2,0,WDR62
ACTC1,0,0,0,0,ACTC1
DPPA4,3,3,3,0,DPPA4
CCDC57,1,0,0,0,CCDC57
THRB,2,3,2,0,THRB
DDX20,2,2,2,0,DDX20
NMNAT3,3,3,3,0,NMNAT3
SYNM,0,1,1,0,SYNM
SPP1,0,0,0,0,SPP1
MAD2L2,3,3,2,0,MAD2L2
LEMD2,0,0,1,0,LEMD2
PHF10,1,0,0,0,PHF10
CRBN,0,0,0,0,CRBN
PCSK1,2,2,0,0,PCSK1
MUC6,3,3,3,0,MUC6
TUSC1,2,2,1,0,TUSC1
TRAM2,2,0,1,0,TRAM2
ACY1,0,0,0,0,ACY1
ENKD1,1,1,1,0,ENKD1
TPP2,1,2,1,0,TPP2
CHD9,2,2,2,0,CHD9
LY86,1,1,1,0,LY86
GJA8,1,2,1,0,GJA8
TRIM69,2,2,2,0,TRIM69
HTRA4,0,0,0,0,HTRA4
PZP,1,1,2,0,PZP
DNAH2,0,2,1,0,DNAH2
SF3B6,1,2,0,0,SF3B6
TBC1D3G,2,1,1,0,TBC1D3G
SLC30A5,0,0,0,0,SLC30A5
CELF1,0,0,0,0,CELF1
ERCC4,3,3,3,0,ERCC4
IL31,1,0,1,0,IL31
MALSU1,1,1,1,0,MALSU1
DHRSX,0,0,0,0,DHRSX
AKR1D1,0,0,0,0,AKR1D1
UBE2C,0,0,0,0,UBE2C
PIGR,3,3,2,0,PIGR
TSPAN16,0,0,0,0,TSPAN16
GANC,3,3,3,0,GANC
RBM8A,0,0,0,0,RBM8A
STK31,1,2,1,0,STK31
LRATD2,1,1,1,0,LRATD2
CADPS,2,3,2,0,CADPS
ZBTB4,1,1,2,0,ZBTB4
WDR31,3,2,2,0,WDR31
TM9SF2,1,0,0,0,TM9SF2
ATG101,0,0,0,0,ATG101
ME2,1,0,0,0,ME2
LGI2,1,2,1,0,LGI2
HYKK,1,1,0,0,HYKK
FZR1,2,2,1,0,FZR1
IL4,2,2,2,0,IL4
SOX2,2,2,2,0,SOX2
C19orf25,0,0,0,0,C19orf25
STX7,0,0,0,0,STX7
GRM1,2,2,1,0,GRM1
IKZF1,2,2,2,0,IKZF1
CYP4F11,1,1,1,0,CYP4F11
COLGALT1,0,0,0,0,COLGALT1
DPF3,3,3,0,0,DPF3
HMG20B,0,0,0,0,HMG20B
SLC9A6,0,0,0,0,SLC9A6
LIN28A,3,3,2,0,LIN28A
ZNF782,0,0,0,0,ZNF782
FADS1,1,2,1,0,FADS1
CCN2,2,3,3,0,CCN2
OGG1,0,1,0,0,OGG1
OPTC,2,2,2,0,OPTC
ELP2,0,0,0,0,ELP2
VCX,3,3,3,0,VCX
ECHDC2,0,0,0,0,ECHDC2
DDX25,1,0,1,0,DDX25
BRAT1,2,2,2,0,BRAT1
AHDC1,2,2,2,0,AHDC1
RBP2,1,3,1,0,RBP2
C1QTNF4,0,1,0,0,C1QTNF4
ZBTB3,2,0,1,0,ZBTB3
CLC,3,3,3,0,CLC
HGD,2,2,1,0,HGD
RHPN1,1,1,1,0,RHPN1
KIF18A,1,1,1,0,KIF18A
COL8A1,3,3,3,0,COL8A1
ASH1L,0,1,1,0,ASH1L
HERC3,0,0,0,0,HERC3
CGGBP1,1,2,1,0,CGGBP1
MBTD1,0,1,0,0,MBTD1
TMPO,0,0,0,0,TMPO
FAM92A,0,0,0,0,FAM92A
NOP58,2,2,2,0,NOP58
CCDC189,3,3,3,0,CCDC189
FASTKD1,2,3,2,0,FASTKD1
EIF4G3,2,2,1,0,EIF4G3
IMMP1L,0,0,0,0,IMMP1L
BORA,2,2,2,0,BORA
ERAL1,0,0,0,0,ERAL1
ZNF135,3,3,2,0,ZNF135
CBR1,0,0,0,0,CBR1
FTCD,2,3,2,0,FTCD
SYNE1,3,3,2,0,SYNE1
CFAP53,3,3,2,0,CFAP53
EIF5A,0,0,0,0,EIF5A
ZNRD1,2,1,2,0,ZNRD1
PDZK1,0,2,1,0,PDZK1
N4BP2L2,2,1,1,0,N4BP2L2
TRIP11,2,3,2,0,TRIP11
ADGRL4,3,3,3,0,ADGRL4
TERT,0,0,0,0,TERT
LZTR1,3,3,3,0,LZTR1
TMEM116,1,1,1,0,TMEM116
TSPAN1,3,3,3,0,TSPAN1
CNST,0,0,0,0,CNST
VTN,2,2,2,0,VTN
PPFIA4,1,2,2,0,PPFIA4
PHF3,0,1,0,0,PHF3
NTN1,0,0,0,0,NTN1
NFKB2,0,0,0,0,NFKB2
ULK3,0,0,0,0,ULK3
CYP11B1,0,0,0,0,CYP11B1
ZFAND2A,0,0,0,0,ZFAND2A
MDH2,2,2,2,0,MDH2
TSPAN7,3,3,3,0,TSPAN7
ASB6,0,0,0,0,ASB6
SPNS1,1,2,1,0,SPNS1
TMBIM1,2,3,3,0,TMBIM1
VDAC1,1,0,0,0,VDAC1
HEMGN,0,0,0,0,HEMGN
NEDD4,1,0,0,0,NEDD4
DPM2,1,3,1,0,DPM2
LAMTOR5,2,0,1,0,LAMTOR5
WDR5B,0,0,0,0,WDR5B
RRP7A,2,1,1,0,RRP7A
UBE2Q1,1,2,1,0,UBE2Q1
H1-5,2,2,1,0,H1-5
MYO19,0,0,0,0,MYO19
BBC3,0,1,1,0,BBC3
SAG,2,3,2,0,SAG
RHOT2,0,0,0,0,RHOT2
CHD5,0,1,0,0,CHD5
TMEM41A,0,0,0,0,TMEM41A
CLPX,1,2,0,0,CLPX
PLCD1,1,1,0,0,PLCD1
CHMP4C,0,0,0,0,CHMP4C
KIFAP3,2,1,2,0,KIFAP3
FBLN5,2,2,2,0,FBLN5
SERPINB1,0,1,1,0,SERPINB1
IGFN1,1,1,1,0,IGFN1
RASAL3,0,0,0,0,RASAL3
RPA2,2,3,3,0,RPA2
CTBP1,0,1,1,0,CTBP1
DYM,0,0,0,0,DYM
C10orf62,1,2,1,0,C10orf62
CT47A8,2,2,2,0,CT47A8
PIK3R2,0,0,0,0,PIK3R2
TOMM40L,0,0,0,0,TOMM40L
RFC3,1,2,0,0,RFC3
CEP85,0,0,0,0,CEP85
GRAP2,2,2,2,0,GRAP2
ADIPOR2,0,0,0,0,ADIPOR2
SRSF9,1,2,3,0,SRSF9
RAF1,0,0,0,0,RAF1
DOCK1,1,0,0,0,DOCK1
ND1,1,2,1,0,ND1
LRRC73,0,0,0,0,LRRC73
SIRT4,1,2,2,0,SIRT4
MACROH2A2,0,0,0,0,MACROH2A2
FOXJ2,0,0,1,0,FOXJ2
SYNGR1,0,2,0,0,SYNGR1
ALDH1A2,2,2,1,0,ALDH1A2
MYPN,1,1,0,0,MYPN
EIF4B,3,3,3,0,EIF4B
HTR3B,2,2,3,0,HTR3B
SPATA18,0,1,0,0,SPATA18
TCHHL1,0,1,0,0,TCHHL1
SUMO2,2,2,2,0,SUMO2
CABIN1,1,3,1,0,CABIN1
ECSIT,2,2,2,0,ECSIT
LAMTOR4,0,0,0,0,LAMTOR4
PKIB,0,0,0,0,PKIB
ADORA2A,2,3,2,0,ADORA2A
STON2,3,3,3,0,STON2
ASPSCR1,0,0,1,0,ASPSCR1
PSEN1,2,3,3,0,PSEN1
SLF2,3,3,0,0,SLF2
ATF1,2,2,2,0,ATF1
SLC2A1,2,2,2,0,SLC2A1
SPANXD,3,2,2,0,SPANXD
LNPK,2,2,2,0,LNPK
GNB1,2,2,2,0,GNB1
KANK3,1,1,0,0,KANK3
IDE,2,2,2,0,IDE
EFNA4,1,1,0,0,EFNA4
PIK3C3,1,1,1,0,PIK3C3
RND2,0,1,0,0,RND2
ERBB2,3,3,3,0,ERBB2
TP53AIP1,1,1,0,0,TP53AIP1
GALM,0,0,1,0,GALM
FBXO27,0,1,3,0,FBXO27
DPYSL5,3,3,3,0,DPYSL5
ANKRD44,0,1,0,0,ANKRD44
ACTA2,0,1,0,0,ACTA2
PGP,0,2,0,0,PGP
KRT83,2,2,2,0,KRT83
KMT2E,2,2,2,0,KMT2E
RRM2B,0,0,0,0,RRM2B
CLSTN2,0,0,0,0,CLSTN2
NOS3,1,0,0,0,NOS3
KLHL4,0,0,0,0,KLHL4
RDX,2,3,2,0,RDX
SNAP91,0,1,0,0,SNAP91
MSRB1,2,2,1,0,MSRB1
MAP2K1,0,1,1,0,MAP2K1
CLCN7,0,0,0,0,CLCN7
ADRA1A,0,3,1,0,ADRA1A
PAFAH1B1,2,0,1,0,PAFAH1B1
NARS2,0,0,0,0,NARS2
MOSPD1,2,1,2,0,MOSPD1
RNF187,1,0,0,0,RNF187
FBRSL1,2,2,0,0,FBRSL1
STOML1,2,0,0,0,STOML1
