,genes,avg_scores
341,TNRC18,4.260281515462333
342,HAUS2,4.164515187956916
343,TOMM20,5.082290491216999
344,NACA2,4.1087004384115
345,SIRT3,4.2766292558179995
346,DCUN1D2,4.053978657873749
347,RTCA,4.210377018946833
348,PYCR2,4.5338090388251535
349,KLC3,4.3029843658194995
350,SLC31A1,4.137683026208166
351,LILRA4,3.649371932595868
352,SLC9A4,3.7898806969704997
353,COPZ1,4.339248267952833
354,RBM7,4.254775714058249
355,FURIN,4.217115417659417
356,LONP1,4.382540498798222
357,PPCS,3.84076954157775
358,GLA,4.015544927635
359,PDK4,3.9667431424605
360,PPARD,4.23070922145
361,PIWIL3,3.726060914375166
362,MTMR8,4.099157104080499
363,ARHGEF11,4.9118871950955
364,TFAP2B,4.390222220295201
365,RUFY1,4.215993689019999
366,BACE2,3.8122625914918444
367,TSNAX,4.628228632183666
368,SMARCA4,5.4882297682095
369,G6PD,4.04547289542975
370,HEG1,3.6610533495410005
371,LRIG2,4.259564148800499
372,SLC12A7,4.14386144464475
373,MYO9B,4.228601106125492
374,TOR1AIP2,3.9187104986487498
375,FSCN1,4.720040350239499
376,FOXE1,4.7704624882430675
377,GUCY1A2,4.2967106679185
378,ARPC5,4.215291883391667
379,FGR,4.058572070694818
380,PLEKHM3,4.046400788325999
381,TIGD2,3.8278345674463328
382,ZNF253,3.7278693385179995
383,POMP,4.3979727325665
384,ISYNA1,4.340607517977416
385,FAT1,4.287753398807249
386,TDRD6,3.9108836482004996
387,GRIP1,4.319819070676166
388,HAP1,4.354572501435083
389,TCOF1,4.423540964521888
390,SNRNP70,3.890625447153309
391,PRDX4,4.606805781566
392,KDM2A,4.187342960142
393,SAMD11,4.103635845697999
394,MRPL52,4.035155466876333
395,ACSBG1,4.286211701171874
396,GSTT2B,3.9161552175335
397,ISL2,3.9865267271579996
398,POLR2M,4.2520748844425835
399,COX5B,4.619973875381749
400,CDC16,4.046100335018651
401,NLRP10,2.9741481635495712
402,RBPJ,4.618153899421583
403,TATDN3,3.9060145344204993
404,TMEM115,4.059635745571
405,MEOX1,4.251384856724833
406,S100A7,4.213570681645833
407,HDAC7,4.627153785607916
408,APOA2,4.066930832047749
409,POM121,4.367542314056165
410,SIAH1,4.4776525672695
411,GLUL,3.9444902219589992
412,DEPDC7,3.950994453717416
413,BUB1B,4.398337715023166
414,SGIP1,4.662376042451332
415,MUC1,4.636513534025499
416,RNF182,4.602872243151749
417,G3BP1,4.8499117082686665
418,ZBTB25,4.006497055804166
419,THAP7,4.242345821307499
420,PMF1,4.384229517935499
421,SUDS3,4.2080023261765
422,GTF3C5,4.077034214147167
423,ABTB1,4.1606999620845
424,PLXNC1,3.8929945845542493
425,RRP7A,4.266505254809917
426,TMOD1,4.478481358038499
427,AKAP7,3.9805232206455003
