Genes,HSB103,HSB105,HSB107,HSB112,HSB113,HSB114,HSB118,HSB119,HSB121,HSB122,HSB123,HSB124,HSB126,HSB127,HSB130,HSB131,HSB132,HSB135,HSB136,HSB139,HSB141,HSB143,HSB145,HSB148,HSB149,HSB150,HSB153,HSB154,HSB155,HSB159,HSB171,HSB172,HSB174,HSB175,HSB178,HSB194,HSB92,HSB96,HSB97,HSB98
JPH3,21.9876,57.554473,28.009459000000003,4.882761,16.425709,22.515083999999998,24.393316,56.149168,21.297314,48.827912,36.109522999999996,56.055292,40.12447,41.202725,41.587804999999996,27.629896999999996,52.319792,54.030156999999996,56.368303000000004,51.344912,50.233940000000004,20.177513,48.827912,7.540131,17.946220999999998,18.820915,22.201787,12.378563,35.652871000000005,21.334825,37.338558,26.412625,26.614206,33.454792,19.832504999999998,32.043246999999994,35.61609,18.881268,31.498862,32.038365999999996
FAT3,25.278736,4.5399970000000005,17.901925,9.110788000000001,19.564694,27.48507,5.701626,4.840483,7.768892,8.024754,4.301386,4.777277,3.747351,4.225839,5.060043,16.242239,7.578635,2.92608,5.3388800000000005,6.961241,3.212483,5.453916,7.009892999999999,22.120292000000003,20.296782,26.785639,32.905009,13.169381,3.3042,10.043954,3.7288309999999996,5.388236,5.3896809999999995,7.142695,25.489292000000003,3.2288349999999997,11.679464999999999,7.765307000000001,11.448402,7.496681
PCDH10,3.32099,21.311872,31.359616,1.332311,7.0351479999999995,20.997122,32.758146,27.380663000000002,27.562895,38.069849,20.312664,32.576023,23.247419,30.70448,26.716418,36.35779,30.789607,20.250989,25.481722,37.9363,18.4271,21.407329,22.657781,0.9245459999999999,5.563927,5.573645,3.891267,53.402916000000005,22.463003,35.408951,25.754046,35.756747,47.154011,31.125276,52.594983,43.626992,37.673677000000005,22.619252,47.391595,36.99535
AGO1,6.194533,6.2943690000000005,7.1674809999999995,32.955791999999995,7.303748,6.3438300000000005,3.6095629999999996,5.781629,6.809014,4.941435,6.271301,6.7659020000000005,4.801189,5.51195,5.944093,4.297225,5.346724,4.352246,7.786516000000001,3.472953,6.258188,6.210704,6.873357,24.131385,6.862767,7.765712,7.569844,6.410734,4.246601,5.248453,3.6347959999999997,8.144824,5.008095,5.507624,9.919115,3.274582,5.017482,10.140452,6.365887,6.389799
MYL12B,104.194709,68.248513,86.190226,82.236373,119.420924,89.356368,95.69664,82.931912,115.406572,87.12874000000001,61.588053,68.476725,64.766475,72.372451,70.922178,91.609758,97.169589,79.85149200000001,63.893925,87.12874000000001,86.71238100000001,53.530319999999996,89.53035600000001,68.620426,103.73099599999999,93.242085,112.95553899999999,110.74672,65.319544,121.04411499999999,86.330141,53.215740000000004,69.359858,79.84688,77.062097,87.29235600000001,98.546643,100.40598,85.36231,92.764449
OTUD7A,2.4045099999999997,5.767652,1.735309,1.901821,2.505082,2.414554,5.858642,8.013836,2.178024,7.65027,7.115152,7.020639999999999,7.524045,7.081546,8.506312,7.884661,6.643563,6.706424,5.811508,7.18841,7.190169999999999,3.3415779999999997,6.017936,1.266738,2.25211,2.824707,2.365943,1.789194,2.456693,1.736938,8.470027,4.442329,7.527057000000001,8.092016000000001,1.9918069999999999,2.62601,1.9304139999999999,1.7941900000000002,1.9913560000000001,1.855405
OCIAD1,29.420628000000004,62.073719999999994,45.077259999999995,16.797654,25.015731,30.878966,80.613381,54.858796999999996,57.731919,55.255277,47.725308,66.20016899999999,67.23010500000001,59.91349399999999,39.562804,53.263206999999994,60.910920999999995,85.32886500000001,52.768722,51.580082,63.267408999999994,53.149273,51.253926,15.611095,28.562345,22.114037,25.798227,29.846778000000004,49.806925,45.076512,49.209192,44.420592,44.230472999999996,47.448822,33.70908,65.580378,40.893515,43.410542,37.709266,43.78317
SSRP1,44.722933000000005,13.674714000000002,41.278415,76.54765,40.869615,45.213565,12.578595,14.641521,15.198970000000001,14.81339,15.308957000000001,13.152669,15.554917999999999,16.240064,15.421839000000002,13.557081,19.0926,15.608775,15.173638,17.447874,13.094156,14.178704999999999,13.459411,70.890346,45.142919,36.409446,35.868643,41.735856,21.922568,38.005072999999996,17.820307,16.083081,8.973394,15.168495000000002,37.592766999999995,22.004749,33.953131,54.571813,34.635447,45.536231
TUBG1,14.589697,11.425621000000001,14.619809,18.419612,16.161036,13.898182,12.687704,20.141762,9.751477000000001,19.120082,13.806567000000001,16.214163,14.29224,18.581657,13.567027,5.8613610000000005,15.141214000000002,12.863112,14.059544,22.207182999999997,8.425371,9.141002,16.887711,21.721439,15.292071,10.367992,13.125132999999998,14.974232,10.669602000000001,12.437966000000001,16.281087,9.506633,30.138454,17.861003,10.918704,13.651569,18.12892,12.571627000000001,15.127398000000001,13.764039000000002
SLC25A1,31.784007,12.086217,24.290331,63.080965,31.843840999999998,29.739086,5.996049,5.061502,17.727104,6.126455,10.800865,5.576756,7.277361,8.095811999999999,6.443795,11.10393,10.550155,6.187263,11.048163,9.735192999999999,11.538828,11.265605,6.175248000000001,69.586699,36.256108000000005,28.674712,30.492194,31.653204,24.428967,21.117947,5.850332,12.071612,4.719048,6.224259,30.52705,19.129127,21.878153,34.333127000000005,24.17667,23.256632
