,Gene1,Gene2,ytest,ypredict
53,CAMK2A,PSME2,7.00965,5.185216966999999
54,CAMK2A,RAB10,8.705256,4.834632490199999
55,CAMK2A,RAB17,6.4540315,3.5330132797999996
56,CAMK2A,RAB3C,8.705256,5.6397809789999975
57,CAMK2A,RAD9B,4.5335903,3.688000309800001
58,CAMK2A,RHOA,7.00965,4.843501955800001
59,CAMK2A,RHOQ,5.948048,4.007393797300001
60,CAMK2A,RIMBP2,4.7776074,3.7385132522
61,CAMK2A,SDC4,6.460634,4.915762761699998
62,CAMK2A,SLC1A2,6.157356299999999,6.000086358
63,CAMK2A,SLC41A1,5.36154,3.241005468499998
64,CAMK2A,SNCA,8.528379,5.342336800199997
65,CAMK2A,STX4,8.1413555,3.214707709699999
66,CAMK2A,STXBP1,12.643856,7.009554037000002
67,CAMK2A,STXBP3,8.705256,3.2172174471999995
68,CAMK2A,SV2A,7.8537793,4.864814138999998
69,CAMK2A,SYN1,7.8889685,6.438609462399999
70,CAMK2A,TNNI1,3.2120104,3.6823652564
71,CAMK2A,TNPO2,3.3825448,4.899620056999998
72,CAMK2A,TNR,7.871267,5.408971236699999
73,CAMK2A,TST,6.240134200000001,3.7358725368000005
74,CAMK2A,UBE2A,3.9808912000000003,4.0512843293
75,CAMK2A,VAMP2,7.309955599999999,5.989447987
76,CAMK2A,VPS45,8.705256,4.5124952378000005
77,CAMK2A,VTI1A,4.65139,3.5261914418
78,CAMK2A,ZFP36,4.792107,4.593027347499999
79,CAMK2A,ZFP91,3.4680986000000003,4.535643762999999
80,ANK2,ABCG1,6.827939,4.255700303699999
81,ANK2,ABI1,5.897901999999999,5.463893000999999
82,ANK2,ACSS2,3.6049373,3.3797387725999988
83,ANK2,ACVR1B,4.320426,5.3464154434000015
84,ANK2,ADI1,1.9236118999999998,3.872564240999998
85,ANK2,ADRA1B,8.0,3.9625801909999994
86,ANK2,AKT1S1,2.7889879,3.9050827290999996
87,ANK2,AMPH,4.8668747,7.261058005000002
88,ANK2,AP4S1,4.427919,5.681795924999998
89,ANK2,ATP6V0D1,5.9434166,4.624550676299998
90,ANK2,BCL2L11,4.966724,3.913125419533334
