,Genes,gene_length,pFAM_domain_number
283,PINK1,18053.0,1
284,SH3GL3,171515.0,2
285,PPFIA3,31482.0,2
286,USP9X,151134.0,1
287,PCDH8,5752.0,2
288,HNRNPF,23549.0,2
289,CKB,3166.0,2
290,KRT18,4035.0,1
291,ZIC1,116871.0,2
292,MICAL2,265136.0,4
293,TMOD2,64766.0,1
294,SEZ6L2,28388.0,2
295,SYNDIG1,196987.0,1
296,ATP6V1A,65023.0,3
297,CISD1,20424.0,2
298,ATP2B3,65263.0,6
299,IL1RAPL2,1201514.0,4
300,SGTA,28567.0,3
301,TYRO3,25914.0,3
302,RUVBL2,22408.0,2
303,WAC,90619.0,1
304,DVL2,9175.0,5
305,STXBP5L,516689.0,3
306,CAMSAP2,121146.0,3
307,DGKB,829728.0,5
308,INSM1,2845.0,1
309,NF1,287189.0,2
310,PDPK1,65209.0,2
311,PIP5K1C,70296.0,1
312,ANLN,63970.0,3
313,NRCAM,309094.0,4
314,TRIM9,120799.0,4
315,ACOT7,130122.0,1
316,DAGLA,66610.0,1
317,NFATC4,13931.0,2
318,AGAP3,58605.0,4
319,RPN2,63209.0,1
320,DCC,1195706.0,4
321,LZTS2,11218.0,1
322,ZNF804A,340963.0,1
323,PLEC,61587.0,5
324,CBL,107650.0,5
325,RANBP6,4582.0,4
326,APC,138741.0,15
327,LMO3,62222.0,1
328,CHD5,78534.0,8
329,RIF1,98130.0,1
330,LRRTM4,845600.0,1
331,ATP6V1F,2991.0,1
332,GABRB1,432721.0,2
333,APBA1,146725.5,2
334,KLHL3,118589.0,3
335,PKD1,47188.0,7
336,ISCA1,18556.0,1
337,KRAS,46147.0,1
338,LIG4,10929.0,5
339,CACNA2D1,497333.0,3
340,SRC,61365.0,3
341,KCNQ3,360236.0,3
342,NPM1,24021.0,2
343,CEP170,130911.88841201714,2
344,RPL17,4070.0,1
345,PCDHA4,205418.0,3
346,LRBA,751292.0,6
347,BTRC,203288.0,3
348,STAM,72673.0,3
349,ASNS,20865.0,2
350,COG1,15875.0,1
351,ASAH1,29006.0,2
352,RUVBL1,92589.5,2
353,SETDB1,38481.0,6
354,CACNA1A,426583.0,3
355,SERPIND1,13607.0,1
356,MADD,60870.0,2
357,DNAJC9,65500.0,1
358,KLC2,10566.0,2
359,RANBP2,66327.0,4
360,MEPE,25406.0,1
361,OTUD7A,395391.0,3
362,DVL3,18237.0,5
363,EHMT2,16993.728758169935,3
364,DCAF7,43802.0,1
365,PLXNA4,525356.0,6
366,PIGT,40850.0,1
367,CHN1,206068.0,3
368,GRB10,203399.0,4
369,MCM4,17975.0,4
370,IPO5,70639.0,5
371,ELAVL2,136233.0,1
372,TRAF2,44695.0,3
373,UBC,5764.0,1
374,EEF1A1,8047.0,3
375,IGSF8,7603.0,1
376,DLGAP3,64214.0,1
377,TIAM1,441561.0,5
378,PFKP,71385.0,1
379,RPL7A,3208.0,1
380,MED12L,351375.0,3
381,CIPC,19161.0,1
382,CORO1C,86487.0,3
383,ACTR2,43500.0,1
384,PGP,2810.0,2
385,AIFM1,36525.0,3
386,RIMS3,45002.0,1
387,PELI3,11010.0,1
388,PIK3R1,86065.0,3
389,PTPRA,174892.0,1
390,SGTB,57107.0,3
391,PSMC5,4874.0,3
392,ILF2,9240.0,1
393,OPRD1,59125.0,1
394,PPP3R1,77380.0,1
395,ATP9A,172120.0,4
396,CCDC85B,1523.0,1
397,MEP1A,46393.0,3
398,PAK2,92790.0,2
399,LARP1,104762.0,1
400,RELA,9493.0,2
401,EFNB3,6170.0,1
402,PODXL2,43617.0,1
403,ZMAT4,367243.0,2
404,REPS2,206614.0,1
405,RAB37,76757.0,1
406,DDX18,17686.0,3
407,RAB31,154276.0,1
408,ZFYVE9,204592.0,3
409,TRPC5,308461.0,3
410,COPB1,56587.0,3
411,SCN1A,164573.0,3
412,EPS15,165003.0,1
413,RAB9B,9930.0,1
414,NEFM,5340.0,2
415,PDGFRB,42033.0,4
416,SEZ6L,214135.0,2
417,KIFAP3,163882.0,1
418,LGALS3BP,8709.0,2
419,GIGYF2,163276.0,1
420,CPEB3,244386.0,2
421,DDAH1,259882.0,1
422,ENO1,18190.0,2
423,PRPF8,34245.287234042546,8
424,NDFIP1,45661.0,1
425,UBE2K,84683.0,2
426,FANCI,73312.0,7
427,HABP4,41167.0,2
428,PLCG1,59841.0,5
429,INPP5F,103105.0,3
430,ATP2A2,70337.0,5
431,NECAB1,167652.0,2
432,NLRP2,40604.98523489933,5
433,ACTN1,105297.0,4
434,RAI14,176284.0,3
435,SQSTM1,31680.0,3
436,ATP1A3,30915.0,4
437,FGB,8130.0,2
438,RPL23,5904.0,1
439,HSP90AA1,58961.0,2
440,AFF2,500044.0,1
441,RASGRF1,130826.0,4
442,TK1,13142.0,1
443,GTSE1,33940.0,1
444,BRINP1,215977.0,1
445,ATP13A2,25970.0,3
446,PAXIP1,59397.0,3
447,IQSEC2,95522.0,2
448,ST6GALNAC5,200066.0,1
449,MAP7D2,110194.0,1
450,PURG,37913.0,1
451,HSP90AB1,7722.0,2
452,CAMKK2,60633.0,1
453,HLA-B,87548.58771929824,3
454,HECW1,453372.0,5
455,YES1,90958.0,3
456,NOTCH1,51615.0,8
457,IQGAP1,113997.0,4
458,AGAP2,18396.0,3
459,TOLLIP,35283.0,2
460,NGRN,12482.0,1
461,HUWE1,154632.0,6
462,GABRB3,395993.0,2
463,TEF,31993.0,1
464,MYB,37865.0,3
465,AASDHPPT,23198.0,1
466,MYL6,5335.0,1
467,AHSA1,11602.0,2
468,DDR1,19685.42278127184,2
469,ICAM5,6826.0,3
470,ALDH7A1,64162.0,1
471,PFDN2,17499.0,1
472,NRG1,1216444.0,3
473,SMAD3,131406.0,2
474,SLITRK5,23657.0,1
475,AGO2,115477.0,6
476,SYTL5,122266.0,2
477,RAC3,2526.0,1
478,MSH6,114571.0,6
479,NOS1AP,300784.0,1
480,TENM1,587914.0,2
481,CACNB4,266707.0,2
482,SNRNP200,46933.0,4
483,TRHDE,583491.0,3
484,SORCS3,623952.0,3
485,PTPRT,1117218.0,3
486,PITHD1,9814.0,1
487,SERPINH1,10727.0,1
488,TMPO,34867.0,3
489,MDN1,177296.0,3
490,RAP1B,61046.0,1
491,TSPAN7,127550.0,1
492,SYT11,25632.0,1
493,GPRIN1,14354.0,1
494,RAB3B,82744.0,1
495,ARHGAP26,458634.0,4
496,AKT1,26402.0,3
497,FRMPD4,902100.0,2
498,PPP2R5B,16922.0,1
