SynDB_Pre,PRKACA
SynDB_Pre,UNC13A
SynDB_Pre,RAB3A
SynDB_Pre,UQCRFS1
SynDB_Pre,POP4
SynDB_Pre,SPTBN4
SynDB_Pre,RABAC1
SynDB_Pre,ATP1A3
SynDB_Pre,NAPA
SynDB_Pre,SPHK2
SynDB_Pre,PPFIA3
SynDB_Pre,AP2A1
SynDB_Pre,PPP2R1A
SynDB_Pre,PRKCG
SynDB_Pre,CSNK2A1
SynDB_Pre,SNPH
SynDB_Pre,PLCB1
SynDB_Pre,SNAP25
SynDB_Pre,NAPB
SynDB_Pre,SRC
SynDB_Pre,YWHAB
SynDB_Pre,GNAS
SynDB_Pre,TUBB1
SynDB_Pre,DNAJC5
SynDB_Pre,ATP5J
SynDB_Pre,SYNJ1
SynDB_Pre,ATP5O
SynDB_Pre,NDUFV3
SynDB_Pre,PFKL
SynDB_Pre,S100B
SynDB_Pre,SLC25A18
SynDB_Pre,ATP6V1E1
SynDB_Pre,TUBA8
SynDB_Pre,SNAP29
SynDB_Pre,MAPK1
SynDB_Pre,AP1B1
SynDB_Pre,YWHAH
SynDB_Pre,SYN3
SynDB_Pre,ACO2
SynDB_Pre,NDUFA6
SynDB_Pre,SAMM50
SynDB_Pre,PDHA1
SynDB_Pre,CASK
SynDB_Pre,SYN1
SynDB_Pre,SYP
SynDB_Pre,DLG3
SynDB_Pre,PRPS1
SynDB_Pre,SLC25A5
SynDB_Pre,MAGEA5
SynDB_Pre,L1CAM
SynDB_Pre,GDI1
Location,Symbol
cat_vesicle,VAMP3
cat_vesicle,ENO1
cat_vesicle,STX12
cat_vesicle,PGM1
cat_vesicle,SLC6A17
cat_vesicle,SV2A
cat_vesicle,SCAMP3
cat_vesicle,RABGAP1L
cat_vesicle,STX6
cat_vesicle,ATP6V1G3
cat_vesicle,SYT2
cat_vesicle,SNAP47
cat_vesicle,ACTA1
cat_vesicle,HPCAL1
cat_vesicle,ATP6V1C2
cat_vesicle,VSNL1
cat_vesicle,SLC30A3
cat_vesicle,ATP6V1E2
cat_vesicle,CALM2
cat_vesicle,RTN4
cat_vesicle,AAK1
cat_vesicle,ATP6V1B1
cat_vesicle,DCTN1
cat_vesicle,RAB3GAP1
cat_vesicle,PDK1
cat_vesicle,ARPC2
cat_vesicle,KIF1A
cat_vesicle,SYN2
cat_vesicle,ATP6V1A
cat_vesicle,RAP1GDS1
cat_vesicle,CLCN3
cat_vesicle,SV2C
cat_vesicle,TMED9
cat_vesicle,ATP6V1G2
cat_vesicle,EEF1A1
cat_vesicle,STX7
cat_vesicle,STXBP5
cat_vesicle,SYNJ2
cat_vesicle,AMPH
cat_vesicle,RALA
cat_vesicle,STX1A
cat_vesicle,ATP6V1F
cat_vesicle,ATP6V1B2
cat_vesicle,ATP6V1H
cat_vesicle,ATP6V0D2
cat_vesicle,ATP6V1C1
cat_vesicle,CLTA
cat_vesicle,ATP6V1G1
cat_vesicle,DNM1
cat_vesicle,SPTAN1
cat_vesicle,SLC18A3
cat_vesicle,ACTA2
cat_vesicle,INA
cat_vesicle,VTI1A
cat_vesicle,SLC18A2
cat_vesicle,LDHA
cat_vesicle,SLC17A6
cat_vesicle,RTN3
cat_vesicle,SYT12
cat_vesicle,MAP6
cat_vesicle,PICALM
cat_vesicle,THY1
cat_vesicle,HSPA8
cat_vesicle,VAMP1
cat_vesicle,GAPDH
cat_vesicle,CAPZA3
cat_vesicle,KRAS
cat_vesicle,PFKM
cat_vesicle,RACGAP1
cat_vesicle,SYT1
cat_vesicle,ARPC3
cat_vesicle,RPH3A
cat_vesicle,RTN1
cat_vesicle,ATP6V1D
cat_vesicle,HSP90AA1
cat_vesicle,MYO5A
cat_vesicle,SV2B
cat_vesicle,SYNGR3
cat_vesicle,ATP6V0C
cat_vesicle,SYT17
cat_vesicle,ALDOA
cat_vesicle,ATP6V0D1
cat_vesicle,PFN1
cat_vesicle,VAMP2
cat_vesicle,ATP6V0A1
cat_vesicle,VAT1
cat_vesicle,NSF
cat_vesicle,VAPA
cat_vesicle,WDR7
cat_vesicle,STXBP2
cat_vesicle,GPI
cat_vesicle,AP2A1
cat_vesicle,SYT5
cat_vesicle,SNAP25
cat_vesicle,SLC32A1
cat_vesicle,STX16
cat_vesicle,TUBB1
cat_vesicle,EEF1A2
cat_vesicle,SYNJ1
cat_vesicle,ATP6V1E1
cat_vesicle,SNAP29
cat_vesicle,AP1B1
cat_vesicle,SYN3
cat_vesicle,SYNGR1
cat_vesicle,SYN1
cat_vesicle,SYP
cat_vesicle,PGK1
Location,Symbol
cat_preactivezone,ENO1
cat_preactivezone,CDC42
cat_preactivezone,OSCP1
cat_preactivezone,PRDX1
cat_preactivezone,SLC6A17
cat_preactivezone,ATP5F1
cat_preactivezone,ATP1A1
cat_preactivezone,PPIAL4B
cat_preactivezone,SV2A
cat_preactivezone,IGSF8
cat_preactivezone,ATP1A2
cat_preactivezone,ATP1A4
cat_preactivezone,ATP1B1
cat_preactivezone,GLUL
cat_preactivezone,ATP2B4
cat_preactivezone,NFASC
cat_preactivezone,PLXNA2
cat_preactivezone,ARF1
cat_preactivezone,ACTA1
cat_preactivezone,YWHAQ
cat_preactivezone,ATP6V1C2
cat_preactivezone,VSNL1
cat_preactivezone,SLC30A3
cat_preactivezone,ATP6V1E2
cat_preactivezone,SPTBN1
cat_preactivezone,MDH1
cat_preactivezone,RAB1A
cat_preactivezone,ATP6V1B1
cat_preactivezone,COX5B
cat_preactivezone,DPP10
cat_preactivezone,DPP4
cat_preactivezone,PRKAG3
cat_preactivezone,NDUFA10
cat_preactivezone,ARPC4
cat_preactivezone,ATP2B2
cat_preactivezone,SLC6A11
cat_preactivezone,SLC6A1
cat_preactivezone,SYN2
cat_preactivezone,RAB5A
cat_preactivezone,UQCRC1
cat_preactivezone,BSN
cat_preactivezone,GNAI2
cat_preactivezone,PDHB
cat_preactivezone,ALCAM
cat_preactivezone,CD47
cat_preactivezone,NDUFB4
cat_preactivezone,RAB7A
cat_preactivezone,RAB6B
cat_preactivezone,KCNAB1
cat_preactivezone,AP2M1
